caminho,extensao,tamanho_bytes,etapa,descricao,sha256_16
.gitignore,,308,configuracao,Exclusões do controle de versão (artefatos do R e exportações brutas de bases),47d325b4ce9a6fc1
CITATION.cff,cff,1519,documentacao,Metadados de citação do repositório e do artigo (formato Citation File Format),9d3c1254ceffc749
LICENSE,,1610,documentacao,Licença MIT para o código e nota sobre CC BY-NC 4.0 para os demais materiais,53fa899f496dccf9
MANIFEST.csv,csv,0,documentacao,Este inventário: relação de todos os arquivos do repositório,
README.md,md,8099,documentacao,"Apresentação do repositório, estrutura, fluxo de trabalho e limitações",209f6d1026738619
dados/Scopus_exported_refine_values.csv,csv,20514,dados derivados,Valores agregados de refinamento exportados da Scopus,9eb8dfbf01661caa
dados/curadoria_resumos/abstracts_nao_ingles.csv,csv,12999,3-resumos,"Resumos cujo idioma detectado não é inglês, exportados para revisão",13a4554bf5257bd5
dados/curadoria_resumos/abstracts_para_traduzir.csv,csv,41593,3-resumos,"Resumos em português ou de idioma não identificado, exportados para tradução manual",11ec6b2f25f9b20e
dados/curadoria_resumos/resumos_para_limpeza_manual.csv,csv,302016,3-resumos,"Autor, ano, título, resumo e DOI de todos os artigos, exportados para limpeza manual dos resumos",5b15ab8e39b590e6
dados/lista_artigos_para_filtragem.csv,csv,62140,dados derivados,"Listagem dos artigos com título, autores, ano e fonte, usada na triagem manual",5628abc39e097ca9
dados/wos_scopus_filtrados.rds,rds,949165,dados derivados,"Base final de artigos após merge, deduplicação, filtragem e correções (objeto bibliometrix em RDS)",4e8969b13f22b1a1
iramuteq/corpus_iramuteq_corrigido.txt,txt,210532,4-corpus,"Corpus textual final formatado para o IRaMuTeQ, com resumos pré-processados",f7cb7520031e5e52
iramuteq/corpus_iramuteq_corrigido_corpus_2/Corpus.cira,cira,925,analise textual - projeto,Arquivo de projeto/banco do corpus no IRaMuTeQ,19e3f91f2557bdec
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus.db,db,217088,analise textual - projeto,Arquivo de projeto/banco do corpus no IRaMuTeQ,4070096a4218d2b9
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/AFC2DCL.png,png,6226,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",05df18b85dd06432
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/AFC2DEL.png,png,29846,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",fcf2b6208f95d271
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/AFC2DEL.png_notplotted.csv,csv,9804,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",06881314c56590f6
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/AFC2DL.png,png,38217,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",2f0b53cd76fe3b4c
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/AFC2DL.png_notplotted.csv,csv,2474,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",394d397fcfac59e1
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/AFC2DSL.png,png,27514,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",ec2eabd93285579a
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/Analyse.ira,ira,707,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",48a355e0d1a4b304
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/RData.RData,rdata,242584,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",821d27ed92dd1609
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/SbyClasseOut.csv,csv,11276,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",eccc100d999139bf
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/TableUc1.csv,csv,125399,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",d3b5bae5ae3b7195
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/afc_col.csv,csv,817,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",b111262e9fd48585
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/afc_facteur.csv,csv,173,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",f52529c5868ec471
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/afc_row.csv,csv,279615,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",9bcc78f36587d035
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/antiprofiles.csv,csv,52003,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",c478a3cffe5deab5
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/arbre_1.png,png,2448,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",58ea429c684b51a6
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/chisqtable.csv,csv,49009,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",b6934789c7558b04
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/classe_mod.csv,csv,14175,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",7f1a1d75a2b0eda1
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/dendro1.png,png,3116,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",d5e85d66a868938c
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/dendrogramme.RData,rdata,904,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",9313f5aff3078f32
iramuteq/corpus_iramuteq_corrigido_corpus_2/corpus_iramuteq_corrigido_alceste_2/dendrogramme_1.png,png,14901,analise textual - CHD,"Classificação hierárquica descendente (método Reinert): perfis, antiperfis, dendrogramas e AFC das classes",5e430caabe7f2b48
