Scopus refine results values

"Your query : (TITLE-ABS-KEY(""raça"") AND ( LIMIT-TO ( AFFILCOUNTRY,""Brazil"" ) )  AND ( LIMIT-TO ( SUBJAREA,""SOCI"" ) OR LIMIT-TO ( SUBJAREA,""ARTS"" ) OR LIMIT-TO ( SUBJAREA,""MULT"" ) OR LIMIT-TO ( SUBJAREA,""ECON"" ) ) )"


Number of results : 230

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","196","2024","38","Domingues, P.","7","Social Sciences","186","Article","204","final","230","Revista Estudos Feministas","22","Race","81","Universidade de São Paulo","27","Conselho Nacional de Desenvolvimento Científico e Tecnológico","9","Brazil","230","Journal","230","Portuguese","209"
"Gold","193","2023","24","Guimarães, A.S.A.","4","Arts and Humanities","77","Review","18",,,"Cadernos Pagu","11","Gender","41","Universidade Federal do Rio de Janeiro","22","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","3","United States","7",,,"English","76"
"Green","100","2022","21","Campos, L.A.","3","Medicine","20","Note","6",,,"Saude E Sociedade","10","Racism","21","Universidade Estadual de Campinas","21","Fundação de Amparo à Pesquisa do Estado de São Paulo","3","Portugal","3",,,"Spanish","14"
,,"2021","25","Gato, M.","3","Multidisciplinary","10","Editorial","2",,,"Revista Brasileira De Historia","9","Intersectionality","19","Universidade Federal do Rio Grande do Sul","14","Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro","2","Argentina","1",,,"French","1"
,,"2020","20","Gomes, N.L.","3","Economics, Econometrics and Finance","4",,,,,"Tempo Social","9","Raca","16","Universidade Federal de Santa Catarina","13","H2020 Marie Skłodowska-Curie Actions","1","Canada","1",,,,
,,"2019","18","Mota, A.","3","Health Professions","2",,,,,"Cadernos De Pesquisa","7","Brazil","15","Universidade de Brasília","12","Harvard University","1","Colombia","1",,,,
,,"2018","12","Abrahão, B.O.d.L.","2","Agricultural and Biological Sciences","1",,,,,"Interface Communication Health Education","6","Human","15","Universidade Federal de Minas Gerais","12","Ministry of Education","1","Cuba","1",,,,
,,"2017","10","Bastos, J.L.","2","Business, Management and Accounting","1",,,,,"Revista Brasileira De Politicas Publicas","6","Social Class","11","Universidade do Estado do Rio de Janeiro","11","Ministério da Saúde","1","France","1",,,,
,,"2016","8","Boing, A.F.","2","Engineering","1",,,,,"Educacao E Pesquisa","5","Article","8","Fundacao Oswaldo Cruz","11","Rice University","1","Germany","1",,,,
,,"2015","8","Costa, T.T.","2","Pharmacology, Toxicology and Pharmaceutics","1",,,,,"Educacao E Sociedade","5","Education","8","Université Fédérale de Sergipe","9","United Nations Educational, Scientific and Cultural Organization","1","Spain","1",,,,
,,"2014","7","Gomes, F.","2","Psychology","1",,,,,"Revista De Historia Brazil","5","Female","8","Universidade Federal da Bahia","9","Universidade Federal de Mato Grosso do Sul","1",,,,,,
,,"2013","6","Kyrillos, G.M.","2",,,,,,,"Estudos Avancados","4","Higher Education","7","Universidade Federal Fluminense","7","Universidade de Coimbra","1",,,,,,
,,"2012","7","Luiz, O.D.C.","2",,,,,,,"Movimento","4","Humans","7","Pontifícia Universidade Católica de São Paulo","6","Undefined","213",,,,,,
,,"2011","1","Moutinho, L.","2",,,,,,,"Revista Brasileira De Ciencias Sociais","4","Slavery","7","Universidade Federal do Ceará","6",,,,,,,,
,,"2010","7","Oliveira, E.","2",,,,,,,"Revista De Antropologia","4","Eugenics","6","Universidade Federal de Pernambuco","6",,,,,,,,
,,"2009","3","Rosemberg, F.","2",,,,,,,"Varia Historia","4","Racialization","6","Universidade Federal de São Carlos","5",,,,,,,,
,,"2008","3","Silveira, L.S.","2",,,,,,,"Epidemiologia E Servicos De Saude","3","Racismo","6","Universidade Federal do Espírito Santo","5",,,,,,,,
,,"2007","3","Soares, A.J.G.","2",,,,,,,"Epidemiologia E Servicos De Saude Revista Do Sistema Unico De Saude Do Brasil","3","Adult","5","Centro Brasileiro de Analise E Planejamento","5",,,,,,,,
,,"2006","7","de Melo, G.C.V.","2",,,,,,,"Historia Ciencias Saude Manguinhos","3","Ethnicity","5","Universidade Estadual do Centro Oeste","4",,,,,,,,
,,"2005","1","de Oliveira, S.S.R.","2",,,,,,,"Historia Unisinos","3","Feminism","5","Universidade Federal do Estado do Rio de Janeiro","4",,,,,,,,
,,"1999","1","Abreu, M.","1",,,,,,,"Nau Literaria","3","Male","5","Pontifícia Universidade Católica do Rio de Janeiro","4",,,,,,,,
,,,,"Afonso, M.L.","1",,,,,,,"Novos Estudos Cebrap","3","Race Relations","5","Centro Federal De Educacão Tecnológica Celso Suckow Da Fonseca","4",,,,,,,,
,,,,"Aguião, S.","1",,,,,,,"Projeto Historia","3","Raza","5","Universidade Federal do Rio Grande","3",,,,,,,,
,,,,"Albuquerque, W.","1",,,,,,,"Revista Brasileira De Linguistica Aplicada","3","Affirmative Action","4","Universidade Federal de Juiz de Fora","3",,,,,,,,
,,,,"Alexandrino, A.","1",,,,,,,"Sociologias","3","Ancestry Group","4","Universidade Estadual Paulista Júlio de Mesquita Filho","3",,,,,,,,
,,,,"Almeida, P.","1",,,,,,,"Anos 90","2","Continental Population Groups","4","Universidade Estadual de Feira de Santana","3",,,,,,,,
,,,,"Alves, F.","1",,,,,,,"Cadernos De Linguagem E Sociedade","2","Educational Status","4","Universidade Federal de Pelotas","3",,,,,,,,
,,,,"Alves, M.","1",,,,,,,"Civitas","2","Health","4","Universidade Federal de São Paulo","3",,,,,,,,
,,,,"Alves, N.L.M.","1",,,,,,,"Curriculo Sem Fronteiras","2","History","4","Universidade Federal do Parana","3",,,,,,,,
,,,,"Alves-Brito, A.","1",,,,,,,"Dados","2","Interseccionalidade","4","Pontifícia Universidade Católica do Rio Grande do Sul","3",,,,,,,,
,,,,"Andrade, A.C.d.S.","1",,,,,,,"Dialogos","2","Literature","4","Universidade Federal do Maranhão","3",,,,,,,,
,,,,"Anjos, J.C.D.","1",,,,,,,"Estudos Historicos","2","Pregnancy","4","Universidade Estadual do Ceará","3",,,,,,,,
,,,,"Antunes, M.B.d.C.","1",,,,,,,"Historia Brazil","2","Rio De Janeiro","4","Instituto de Pesquisa Economica Aplicada","3",,,,,,,,
,,,,"Arañó, Y.M.","1",,,,,,,"Latin American Research Review","2","Sexuality","4","Universidade do Estado da Bahia","3",,,,,,,,
,,,,"Araújo, A.M.C.","1",,,,,,,"Lua Nova","2","Social Determinants Of Health","4","Casa de Oswaldo Cruz","3",,,,,,,,
,,,,"Araújo, M.F.S.","1",,,,,,,"Mana Estudos De Antropologia Social","2","Social Sciences","4","Universidade Federal do ABC","2",,,,,,,,
,,,,"Araújo, R.A.P.D.","1",,,,,,,"Physis","2","Socioeconomics","4","Universidade Federal de Mato Grosso","2",,,,,,,,
,,,,"Assis, G.O.","1",,,,,,,"Revista Brasileira De Ciencias Do Esporte","2","Statistics And Numerical Data","4","The New School","2",,,,,,,,
,,,,"Avritzer, L.","1",,,,,,,"Revista Brasileira De Educacao","2","Young Adult","4","Universidade Federal do Reconcavo da Bahia","2",,,,,,,,
,,,,"Backes, J.L.","1",,,,,,,"Revista Brasileira De Estudos De Populacao","2","Adolescent","3","Universidade Estadual de Mato Grosso do Sul","2",,,,,,,,
,,,,"Bairros, F.","1",,,,,,,"Revista Direito Gv","2","Black Feminism","3","Universidade Estadual de Goias","2",,,,,,,,
,,,,"Balaban, M.","1",,,,,,,"Topoi Brazil","2","Black Women","3","Fundacao Universidade Federal do Vale do Sao Francisco","2",,,,,,,,
,,,,"Barata, R.B.","1",,,,,,,"Vibrant Virtual Brazilian Anthropology","2","Class","3","Universidade de Coimbra","2",,,,,,,,
,,,,"Barbosa, C.","1",,,,,,,"Acervo","1","Colonialism","3","Universidade do Estado de Santa Catarina","2",,,,,,,,
,,,,"Barbosa, I.R.","1",,,,,,,"Acta Scientiarum Language And Culture","1","Decision Making","3","Universidade do Vale do Rio dos Sinos","2",,,,,,,,
,,,,"Barbosa, I.R.","1",,,,,,,"Almanack","1","Decoloniality","3","Universidade Estadual de Londrina","2",,,,,,,,
,,,,"Barbosa, J.C.","1",,,,,,,"Anais Da Academia Brasileira De Ciencias","1","Democracy","3","Universidade Federal Rural do Rio de Janeiro","2",,,,,,,,
,,,,"Barbosa, M.T.S.","1",,,,,,,"Anais Do Museu Paulista","1","Disability","3","Conselho Nacional de Desenvolvimento Cientifico E Tecnologico Cnpq","2",,,,,,,,
,,,,"Barbosa-Fohrmann, A.P.","1",,,,,,,"Analise Social","1","Football","3","Pontificia Universidade Catolica de Minas Gerais","2",,,,,,,,
,,,,"Barone, A.C.C.","1",,,,,,,"Ars Sao Paulo","1","Genero","3","Universidade Federal de Santa Maria","2",,,,,,,,
,,,,"Barros, A.K.C.","1",,,,,,,"Caderno Crh","1","Health Care Disparity","3","Fundação Carlos Chagas","2",,,,,,,,
,,,,"Barros, M.B.d.A.","1",,,,,,,"Comunicacao Midia E Consumo","1","Health Services Accessibility","3","Universidade Federal do Oeste do Pará","2",,,,,,,,
,,,,"Barros, S.","1",,,,,,,"Confluenze","1","Healthcare Disparities","3","Universidade da Integração Internacional da Lusofonia Afro-Brasileira - UNILAB","2",,,,,,,,
,,,,"Batista, L.E.","1",,,,,,,"Cuadernos De Administracion","1","Human Rights","3","Fundação Joaquim Nabuco","2",,,,,,,,
,,,,"Bazon, M.R.","1",,,,,,,"Dilemas","1","Identity","3","Secretaria de Estado da Saúde do Amapá","1",,,,,,,,
,,,,"Bento, B.","1",,,,,,,"Educacao And Realidade","1","Inequality","3","Departamento de Economia Rural","1",,,,,,,,
,,,,"Bernardes, M.N.","1",,,,,,,"Education Policy Analysis Archives","1","Interseccionalidad","3","Secretaria de Desenvolvimento Ambiental de Rondônia","1",,,,,,,,
,,,,"Bezerra, H.d.S.","1",,,,,,,"Esbocos","1","Jazz","3","Secretaria Municipal de Saúde","1",,,,,,,,
,,,,"Bezerra, R.A.","1",,,,,,,"Estudos De Literatura Brasileira Contemporanea","1","Knowledge","3","Fundação João Pinheiro","1",,,,,,,,
,,,,"Bilbao, J.A.S.","1",,,,,,,"Estudos Ibero Americanos","1","Memory","3","Centro de Estudos e Pesquisas","1",,,,,,,,
,,,,"Boing, A.C.","1",,,,,,,"Etnografica","1","Middle Aged","3","Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro FAPERJ","1",,,,,,,,
,,,,"Bonetti, A.","1",,,,,,,"Ex Aequo","1","Photography","3","Organização Pan-Americana da Saúde","1",,,,,,,,
,,,,"Bonilla-Medina, S.X.","1",,,,,,,"Fronteiras Brazil","1","Poverty","3","Departamento de Sociologia da USP","1",,,,,,,,
,,,,"Bonomo, M.","1",,,,,,,"Gender And Language","1","Press","3","Instituto Rio Branco","1",,,,,,,,
,,,,"Borges, M.F.d.S.O.","1",,,,,,,"Hispania","1","Prevalence","3","University of Alabama","1",,,,,,,,
,,,,"Borgongino, B.U.","1",,,,,,,"Historia Critica","1","Public Policies","3","Centro Nacional de Pesquisa Científica cnrs","1",,,,,,,,
,,,,"Boscatti, A.P.G.","1",,,,,,,"Historia Da Historiografia","1","Skin Pigmentation","3","Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira","1",,,,,,,,
,,,,"Braga, L.A.","1",,,,,,,"Ikala","1","Socioeconomic Factors","3","Associação Paranaense de Criadores de Bovinos da Raça Holandesa","1",,,,,,,,
,,,,"Bragaia, F.A.D.","1",,,,,,,"International Journal Of The History Of Sport","1","Access To Education","2","University Hospital “Juan Bruno Zayas”","1",,,,,,,,
,,,,"Bueno, J.G.S.","1",,,,,,,"International Journal Of The Sociology Of Language","1","Adolescence","2","State University of New York","1",,,,,,,,
,,,,"Cabrera, O.","1",,,,,,,"Investigacoes Em Ensino De Ciencias","1","Affirmative Actions","2","Faculdade Dom Alberto","1",,,,,,,,
,,,,"Caetano, K.A.A.","1",,,,,,,"Journal Of Curriculum And Pedagogy","1","Amiri Baraka","2","Secretaria de Estado de Educação","1",,,,,,,,
,,,,"Calil, M.L.G.","1",,,,,,,"Journal Of Human Growth And Development","1","Ancestry","2","Instituto Federal do Pará IFPA","1",,,,,,,,
,,,,"Calvo-Gonzalez, E.","1",,,,,,,"Machado De Assis Em Linha","1","Black Music","2","Federal Institute of Ceará","1",,,,,,,,
,,,,"Calvo-González, E.","1",,,,,,,"Margens","1","Black People","2","Fundação Ford","1",,,,,,,,
,,,,"Candido, L.C.","1",,,,,,,"Paideia","1","Black Person","2","Universidade da Carolina do Norte em Charlotte","1",,,,,,,,
,,,,"Candido, M.R.","1",,,,,,,"Revista Brasileira De Seguranca Publica","1","Black Population","2","Rua das Palmeiras","1",,,,,,,,
,,,,"Canelas, L.G.","1",,,,,,,"Revista Da Educacao Fisica","1","Black Press","2","Faculdade de Tecnologia","1",,,,,,,,
,,,,"Carvalhaes, F.","1",,,,,,,"Revista De Arqueologia","1","Blackness","2","Comissão de Direitos Humanos do Conselho Regional de Psicologia","1",,,,,,,,
,,,,"Castro, F.V.","1",,,,,,,"Revista De Comunicacao E Linguagens","1","Body","2","Da Cátedra Martin - Flynn Global Law Faculty da Faculdade de Direito da Universidade de Connecticutt","1",,,,,,,,
,,,,"Colombini, I.","1",,,,,,,"Revista De Direito","1","Brasil","2","Regularização Migratória do Centro de Direitos Humanos e Cidadania do Imigrante - CDHIC","1",,,,,,,,
,,,,"Conceição, Í.A.","1",,,,,,,"Revista De Economia E Sociologia Rural","1","Brazilian Cinema","2","Colégio Santa Doroteia","1",,,,,,,,
,,,,"Conte Gil, P.H.","1",,,,,,,"Revista De Estudos Empiricos Em Direito","1","Candomble","2","Instituto Rio Branco","1",,,,,,,,
,,,,"Cordeiro, R.d.L.M.","1",,,,,,,"Revista De Historia","1","Care","2","Universidade Pitágoras UNOPAR","1",,,,,,,,
,,,,"Costa, B.","1",,,,,,,"Revista De Historia Regional","1","City","2","Instituto Nacional de Educação de Surdos DESU-INES","1",,,,,,,,
,,,,"Costa, B.L.D.","1",,,,,,,"Revista De Sociologia E Politica","1","Classe","2","Colégio Naval","1",,,,,,,,
,,,,"Costa, K.","1",,,,,,,"Revista Do Instituto Historico E Geografico Do Rio Grande Do Sul","1","Cohort Analysis","2","Secretaria de Educação do Estado do Espírito Santo","1",,,,,,,,
,,,,"Couto, M.T.","1",,,,,,,"Revista Eletronica Direito E Sociedade","1","Cohort Studies","2","Secretaria de Estado da Saúde de Alagoas","1",,,,,,,,
,,,,"Covre-Sussai, M.","1",,,,,,,"Revista Interdisciplinar Da Mobilidade Humana","1","Coloniality","2","Faculdade de Direito do Sul de Minas","1",,,,,,,,
,,,,"Cristiellen Rodrigues Ribeiro, M.","1",,,,,,,"Sociedade E Cultura","1","Conceicao Evaristo","2","Universidade Militar Nova Granada","1",,,,,,,,
,,,,"Cruvinel, T.","1",,,,,,,"Tapuya Latin American Science Technology And Society","1","Critical Race Theory","2","LAFONT","1",,,,,,,,
,,,,"Cunha, R.d.O.","1",,,,,,,"Tempo Brazil","1","Cross-Sectional Studies","2","Gestão da Política LGBTQIA+","1",,,,,,,,
,,,,"Cyrino, E.G.","1",,,,,,,"Tempo E Argumento","1","Cross-sectional Study","2","Universidade Feevale","1",,,,,,,,
,,,,"Cândido, M.J.D.","1",,,,,,,"Urbe","1","Culture","2","Pennsylvania State University","1",,,,,,,,
,,,,"Da Silva, I.A.","1",,,,,,,"Urdimento","1","Desigualdade","2","Universidade Federal do Pará","1",,,,,,,,
,,,,"Da Silva, N.C.","1",,,,,,,,,"Difference","2","Universidade Catolica Dom Bosco","1",,,,,,,,
,,,,"Dachs, J.N.W.","1",,,,,,,,,"Ethnic Group","2","Instituto Evandro Chagas","1",,,,,,,,
,,,,"Damasco, M.S.","1",,,,,,,,,"Ethnicity And Health","2","Universidade Gama Filho","1",,,,,,,,
,,,,"De Andrade, M.D.","1",,,,,,,,,"Favela","2","Universidade Tiradentes","1",,,,,,,,
,,,,"De Camilla de Magalhães Gomes, T.","1",,,,,,,,,"Feminist Legal Theory","2","Universidade Federal de Alagoas","1",,,,,,,,
,,,,"De Carvalho, L.D.","1",,,,,,,,,"Frantz Fanon","2","Instituto Brasileiro de Geografia e Estatistica","1",,,,,,,,
,,,,"De Carvalho, M.P.","1",,,,,,,,,"Gender Relations","2","Universidade de Franca","1",,,,,,,,
,,,,"De Castro Pinto, E.R.G.","1",,,,,,,,,"HIV/AIDS","2","Universidade Federal de Mato Grosso do Sul","1",,,,,,,,
,,,,"De Castro, D.D.","1",,,,,,,,,"Health Care","2","Harvard University","1",,,,,,,,
,,,,"De Emílio Circunde Vieira Andrade, D.","1",,,,,,,,,"Health Care Delivery","2","The University of British Columbia","1",,,,,,,,
,,,,"De Moraes, C.P.","1",,,,,,,,,"Health Care Policy","2","Universidade Federal da Paraíba","1",,,,,,,,
,,,,"De Oliveira, A.L.J.","1",,,,,,,,,"Health Education","2","Universidade Cidade de São Paulo","1",,,,,,,,
,,,,"De Oliveira, A.N.C.","1",,,,,,,,,"Health Of Ethnic Minorities","2","Universidade Federal de Vicosa","1",,,,,,,,
,,,,"De Oliveira, D.B.","1",,,,,,,,,"Health Service","2","Faculdade de Ciencias Medicas da Santa Casa de Sao Paulo","1",,,,,,,,
