autor,ano,titulo,resumo,doi
VITORINO A;MONTANARI P,2014,TO SELF PRODUCE BLACK AT BRAZIL: A STUDY OF THE DIDATIC AND PEDAGOGICAL DEVICES PRESENT IN RACA BRASIL MAGAZINE,"AS FROM THE TEACHINGS OF MICHEL FOUCAULT ABOUT SELF-GOVERNMENT, IT WAS MADE AN ANALYSIS OF THE NATIONAL MAGAZINE TITLED RACA BRASIL, WHOSE TARGET AUDIENCE IS THE BLACK BRAZILIAN WITH A VIEW TO SHOW THE DIDACTIC AND PEDAGOGICAL DEVICES PRESENT IN THE MAGAZINE. TO EVALUATE THIS DISCOURSE, IT WAS ANALYZED A SET OF FIFTEEN MAGAZINES WHICH COVERED THE PERIOD OF JANUARY 2000 TO MAY 2001, WHERE IT WAS CHOOSE AN EDITION FOR RESEARCH THROUGH FOUCAULTIAN CONCEPTS, COMPARING THE RESULTS WITH THE BIBLIOGRAPHY. IT INDICATED THAT THE RACA BRASIL MAGAZINE, FROM THE DEVICES DOTTED THROUGHOUT THE ARTICLE, INTENDS TO MODEL THE BRAZILIAN BLACK IDENTITY, WHICH HAS IS COMMON AMONG ITS MEMBERS THE CULTURE AND MEMORY CALLED AFRICAN-BRAZILIAN, PROPOSING THUS, IN THE SOCIETY, A TAXONOMY BETWEEN BLACKS AND WHITES. IN SHORT, WAS MADE AN EFFORT OF THE ANALYSIS ABOUT THE DISCOURSE AND COMMERCIALS PRESENT IN THE HIGHLIGHTED NUMBER, PRETENDING TO UNDERSTAND WHAT THE MAGAZINE SEES AS ""BLACK BRAZILIAN"" AND WHAT FEATURES, PROPOSED IN ITS DISCOURSE, ABOUT BRAZILIAN BLACK IDENTITY.",10.20396/etd.v16i1.1334
DA ROSA C;DE SOUZA R;DA SILVA C,2024,"FOOTBALL AND BLACK IDENTITY: LIFESTYLE CONSTRUCTION IN A VOZ DA RAÇA IN SÃO PAULO, BRAZIL, IN 1933","IN 1930S S & ATILDE;O PAULO, BRAZIL, AMID SHIFTING SOCIAL CONDITIONS, THE BLACK POPULATION, BOLSTERED BY MOVEMENTS LIKE THE FRENTE NEGRA BRASILEIRA (BRAZILIAN BLACK FRONT), SOUGHT SOCIAL INTEGRATION. CENTRAL TO THEIR EFFORTS WAS THE NEWSPAPER A VOZ DA RA & CCEDIL;A, WHICH PROMOTED SPORTS EVENTS, PARTICULARLY FOOTBALL, WHERE BLACK CLUBS GAINED VISIBILITY. HOWEVER, RACIAL AND SOCIAL SEGREGATION PERSISTED IN MANY CLUBS DUE TO EUGENICS AND HYGIENE IDEOLOGIES. THIS STUDY EXAMINES HOW A VOZ DA RA & CCEDIL;A PORTRAYED LIFESTYLE THROUGH FOOTBALL. DRAWING ON CULTURAL HISTORY AND BOURDIEU'S CONCEPT OF 'FIELD', IT ANALYZES POWER DYNAMICS IN FOOTBALL AND ITS REPRESENTATIONS. THE NEWSPAPER EMPHASIZED MORALITY, PHYSICALITY, AND PATRIOTISM, ALIGNING WITH HYGIENIST IDEALS TO FOSTER DISCIPLINED, ORGANIZED LIFESTYLES AND A SENSE OF NATIONAL BELONGING AMONG BLACK INDIVIDUALS.",10.1080/09523367.2024.2418461
FREITAS M,2020,THE UNDERSTANDING AND DENUNCIATION OF RACIAL VIOLENCE AS GENOCIDE OF THE BLACK POPULATION,"THIS ARTICLE PRESENTS A REFLECTION ON THE UNDERSTANDING OF RACIAL RELATIONS IN BRAZIL AND THE VIOLENCE IMBRICATED IN THIS PROCESS AS A GENOCIDE OF THE BLACK POPULATION. TO DO SO, A READING OF ANTIRACIST STRUGGLES, UNDERTAKEN BY BLACK SOCIAL MOVEMENTS, IS MADE THAT DENOUNCES THE EXISTENCE OF SUCH EXTERMINATION. THE BOOK ""THE BLACK GENOCIDE OF BRAZIL: THE PROCESS OF MASKED RACISM"" WRITTEN BY ABDIAS NASCIMENTO AND THREE SOCIAL MOVEMENTS THAT SPECIFICALLY WORK AGAINST THE GENOCIDE OF BLACK YOUTH IS PARTICULARLY FOCUSED. THE PLOT SEWN THROUGHOUT THE TEXT ALLOWS TO UNDERSTAND THAT THE UNDERSTANDING OF THE VIOLENCE AGAINST THE BLACK POPULATION AS A GENOCIDE HAS BEEN A POLITICAL STRATEGY OF THE BLACK MOVEMENTS, SEEN AS PROVOCATEURS OF ANNOYANCE.",10.47456/simbitica.v7i3.33706
VINUTO J;RAMOS P,2024,STATE VIOLENCE AND RACISM: SOME THEORETICAL-METHODOLOGICAL DISCUSSIONS,"IN THIS PRESENTATION OF THE DOSSIER ""STATE VIOLENCE AND RACISM: THEORETICAL AND METHODOLOGICAL DISCUSSIONS"", WE PROPOSE SOME TOPICS FOR DISCUSSION THAT CAN CONTRIBUTE TO WHAT HAS BEEN CALLED THE ""ANTI-RACIST TURN"" IN STUDIES ON VIOLENCE, CRIME, PUNISHMENT AND RELATED THEMES. TO THIS END, WE BEGIN WITH A CRITICAL ANALYSIS OF THE FIELD OF STUDY OF THE SOCIOLOGY OF VIOLENCE, INITIALLY BASED ON A HISTORICAL OVERVIEW OF THE POINTS OF CONTACT BETWEEN THIS AND THE SOCIOLOGY OF RACE RELATIONS/ INEQUALITIES, HIGHLIGHTING THE CONTRIBUTION OF INTRA-ACADEMIC, INTER-INSTITUTIONAL AND EXTRA-ACADEMIC FACTORS. NEXT, WE PRESENT SOME OF THE MAIN METHODOLOGICAL CHALLENGES FACED IN EMPIRICAL RESEARCH DEALING WITH THE STATE-RACISM-VIOLENCE INTERFACE, ARGUING THAT MANY OF THESE METHODOLOGICAL ADVERSITIES ARE ROOTED IN THE LACK OF THEORETICAL DIALOG BETWEEN THESE TWO FIELDS. FINALLY, WE WILL PRESENT THE OTHER ARTICLES IN THE DOSSIER, HIGHLIGHTING THEIR METHODOLOGICAL CONTRIBUTIONS TO STUDIES ON STATE VIOLENCE AND RACISM.",10.14244/contemp.v14.1316
DA SILVA M,2022,RELIGIONS AND RELIGIOSITIES IN THE TALES OF GEOVANI MARTINS,"THIS ARTICLE DISCUSSES THE WORK O SOL NA CABECA, BY THE RIO DE JANEIRO WRITER GEOVANI MARTINS (2018). THE RESEARCH, INITIALLY, MAKES A CRITICAL REREADING OF THE THIRTEEN SHORT STORIES PRESENT IN THE COLLECTION OF SHORT STORIES, THEN, THROUGH THE HERMENEUTIC METHOD (AMARAL FILHO, 2009; GHEDIN, 2004; GADAMER, 2003), SEEKS TO INVESTIGATE THE RELIGIOUS PHENOMENON IN THE TEXTS IN WHICH GEOVANI MARTINS REVEALS HOMO RELIGIOSUS (ELIADE, 1979; 1992; 2010), WHICH IS THE CONSTITUTIVE NATURE, OR RATHER, THE FUNDAMENTAL OBJECT IN WHICH THIS WORK WAS PROPOSED. IN ADDITION, THE PRESENT TEXT SEEKS TO VALUE THE LITERATURE THAT HAS BEEN PRODUCED BY A PROSE TALENT IN BRAZIL IN CURRENT TIMES.",NA
RODRIGUES A;DA SILVA M;RAMOS P,2021,ANTIRACISM AND BLACK MEMORY IN THE ARCHIVES: A PROJECT TO PRESERVE BLACK ORGANIZATION COLLECTIONS AT THE UNIVERSITY OF CAMPINAS (BRAZIL),"THIS ARTICLE DESCRIBES THE ANTI-RACIST PROJECT DEVELOPED BY THE ARQUIVO EDGARD LEUENROTH (AEL - EDGARD LEUENROTH ARCHIVE) AT THE STATE UNIVERSITY OF CAMPINAS (UNICAMP) IN BRAZIL THAT INVOLVES ASSEMBLING COLLECTIONS PERTAINING TO BLACK SOCIAL ORGANIZATIONS IN THE STATE OF SAO PAULO FOR PRESERVATION AND DISSEMINATION. THE PROJECT UNDERSTANDS THE RELATION BETWEEN ARCHIVES AND ANTI-RACISM IN TWO DIMENSIONS. ONE CONSIDERS THE VERY GESTURE OF INCORPORATING MATERIALS INTO THE ARCHIVAL APPARATUS AND THE OTHER INVOLVES THE SEARCH FOR A NEW PARTICIPATORY PARADIGM FOR ARCHIVAL PRACTICES AND DECISION-MAKING. THE COLLECTIONS ENABLE US TO REIMAGINE THE ROLE OF BLACK ORGANIZATIONS IN THE HISTORY OF THE COUNTRY AND ITS FUTURE, THUS PRESERVING AND ENSURING ACCESS TO THEM IS PART OF A BROADER INITIATIVE TO REDEFINE THE PLACE OF THE ARCHIVAL INSTITUTION IN POLICIES AIMING TO DISMANTLE RACISM.",10.1080/23257962.2021.1958769
DUCATTI I;SOUZA T,2017,THE LEPROSY PROPHYLACTIC MAKING IN BRAZIL OF VARGAS: ISOLATION AND LEGITIMATION OF PUBLIC HEALTH POLICIES,"THIS IS A HISTORICAL SURVEY OF THE ISOLATION OF LEPROSY PATIENTS AS A PROPHYLACTIC POLICY IN BRAZIL, WHICH TOOK PLACE BETWEEN THE 1930S AND 1960S. THE ISOLATION BECAME A GENERALIZED PROPHYLACTIC ACTION, LEGITIMIZED BY AN ELITE COMMITTED TO TOTALITARIAN IDEALS. VARGAS APPLIED STATE MEASURES, MAKING INDISCRIMINATELY HARSH POLICY.",NA
CARLOS J,2020,THREE THESES ABOUT HOME ECONOMICS IN BRAZIL: ELEMENTS FOR A HISTORICAL INTERPRETATION (1952-2020),"THIS STUDY SHOWS AN ANALYSIS OF THE THREE PREVALENT THESES IN ACADEMIC WORK ON HOME ECONOMICS IN BRAZIL, AREA OF TECHNICAL AND HIGHER EDUCATION OF AMERICAN ORIGIN. PRESENTING EACH OF THEM THE CENTRALITY OF THE GENDER CATEGORY, THE POLITICAL -INSTRUMENTAL AND THE HISTORICAL CRITICAL IT DEMONSTRATES HOW THE HISTORICAL READINGS ON THE GENESIS AND EXTINCTION OF THE EDUCATIONAL PROJECT OF HOME ECONOMICS ARE SUBSTANTIALLY ALTERED ACCORDING TO ITS CENTRAL ELEMENTS. IN THIS PERSPECTIVE, IT IS UNDERSTOOD THAT THE THIRD THESIS ADVANCES IN THE CONSTRUCTION OF A HISTORICAL APPROACH THAT SOLVES SOME OF THE GAPS PRESENTED, ENCOMPASSING THE EDUCATIONAL DIMENSIONS OF THE TRAJECTORY OF HOME ECONOMICS IN THE USA AND BRAZIL.",10.5752/P.2237-8871.2020v.23n.35p.73-91
VIEIRA J;GUIMARAES A;VIEIRA A,2019,THE PROCESS OF INSTITUTIONALIZATION OF THE DISCIPLINE WORK- EDUCATION IN THE PEDAGOGY TRAINING POLICIES IN THE PUBLIC UNIVERSITIES OF RIO DE JANEIRO,"THIS ARTICLE AIMS TO IDENTIFY AND AND UNDERSTAND HOW THE PUBLIC UNIVERSITIES OF THE STATE OF RIO DE JANEIRO ORGANIZE IN THE CURRICULUM GRADES OF THE COURSE OF PEDAGOGY THE DEBATE OF THE DISCUSSION OF WORK-EDUCATION. IT IS INTENDED TO REFLECT ON THE DIRECTIONS, CONCEPTIONS AND THEORETICAL FOUNDATIONS OF THIS DISCIPLINE, AS WELL AS VERIFY THEIR THEIR CONTRIBUTIONS IN THIS TRAINING. THUS, WE AIM TO: 1) REFLECT ON THE PRODUCTIONS THAT CONTRIBUTE TO THE THEME DEVELOPED IN THE DISCIPLINE AND 2) ANALYZE THE DATA COLLECTED IN THE FIELDWORK CARRIED OUT IN THE FOLLOWING PUBLIC INSTITUTIONS IN 2008: UERJ (BAIXADA SCHOOL OF EDUCATION FLUMINENSE, SCHOOL OF EDUCATION), UFRJ, UFRRJ (CAMPUS OF NOVA IGUACU), UFF AND UNIRIO. THUS, ON THE ONE HAND WE PRESENT THE MAIN QUESTIONS AND THEMES THAT ARE INCLUDED IN THE STUDIES OF THE AREA AND THAT OFFER ELEMENTS TO ANALYZE THE CONCEPTUAL HORIZON AND THE THEORETICAL FOUNDATION NEEDED IN THE EDUCATION OF THE PEDAGOGUE. ON THE OTHER HAND, WE HIGHLIGHT THE ANALYZES OF THE MENUS AND THE RESULTS OF THE SEMI STRUCTURED QUESTIONNAIRE WITH THE TEACHERS WHO TAUGHT THIS DISCIPLINE IN THE UNIVERSITIES IN ORDER TO DISCUSS THE PROCESS OF INSTITUTIONALIZATION OF THIS WORK-EDUCATION DEBATE IN THE COURSES OF PEDAGOGY OF THESE UNIVERSITIES.",10.21723/riaee.v14i2.10004
MOREIRA S;PARTICHELLI P;BAZANI A,2019,THE OBSTETRIC VIOLENCE AND CHALLENGES TO PROMOTE EFFECTIVE PUBLIC HEALTH POLICIES,"IN ORDER TO ANALYZE THE APPROPRIATION OF CHILDBIRTH BY MEDICAL POWER AND ITS RELATION TO THE PRACTICE OF OBSTETRIC VIOLENCE IN HOSPITALS AND MATERNITY WARDS, ONE QUALITATIVE STUDY THAT AIMED AT DISCUSSING HOW THE ISSUE OF OBSTETRIC VIOLENCE HAS BEEN APPROACHED BY SEVERAL AUTHORS IN THE LITERATURE WAS CONDUCTED, AS WELL AS THEIR EXPOSURE IN OFFICIAL DOCUMENTS OF THE BRAZILIAN UNIFIED HEALTH SYSTEM (SUS) AND REPORTS OF BATTERED WOMEN. THE FIGURE OF THE WOMAN WAS APPROACHED AS A MOTHER, THE POWER RELATIONS BETWEEN MEDICAL STAFF AND PARTURIENTS, THE VIOLENCE OBSTETRIC PRACTICED WITHIN HOSPITALS AND MATERNITY AND THE PUBLIC HEALTH POLICIES FOR A HUMANIZED CHILDBIRTH. THERE IS A NEED COMPLEMENTARY STUDIES THAT AIM TO CREATE METHODOLOGIES FOR THE CONSTRUCTION OF PUBLIC POLICIES FOCUSED ON HEALTH MANAGEMENT, AIMING TO PROMOTE A REFLECTION ON THE UNIVERSAL SERVICE.",10.18316/dialogo.v0i41.4822
