TI,AU,PY,SO
 EFFECTS OF THE RESEARCHER’S RACE/COLOR AND GENDER ON EMPIRICAL RESEARCH: IMPACTS ON THE RACIAL CLASSIFICATION OF SURVEY RESPONDENTS; [EFEITOS DA RAÇA/COR E GÊNERO DA PESQUISADORA OU DO PESQUISADOR NA PESQUISA EMPÍRICA: IMPACTOS NA CLASSIFICAÇÃO RACIAL DE RESPONDENTES DE UM SURVEY],PEREIRA B;SIQUEIRA J,2022,SOCIOLOGIAS
"""A VIDA EM QUE VIVEMOS"": RACE, GENDER AND MODERNITY IN SÃO GONÇALO; [""A VIDA EM QUE VIVEMOS"": RAÇA, GÊNERO E MODERNIDADE EM SÃO GONÇALO]",DE A P O,2006,REVISTA ESTUDOS FEMINISTAS
"""EVERYHTING FOR BRAZIL; EVERYTHING FOR THE RACE"": RIO DE JANEIRO'S BLACK FRONT; [""TUDO PELO BRASIL; TUDO PELA RAÇA"": A FRENTE NEGRA CARIOCA]",DOMINGUES P,2018,ESTUDOS HISTORICOS
"""FILMS ON FIRE"": CINEMA, PRESS AND SENSATIONALISM IN RIO DE JANEIRO'S BELLE ÉPOQUE; [""FITAS EM CHAMMAS"": CINEMA, IMPRENSA E SENSACIONALISMO NA BELLE ÉPOQUE CARIOCA]",LAPERA P,2019,REVISTA BRASILEIRA DE HISTORIA
"""FREE PEOPLE OF COLOR"" IN MARTINIQUE: ISSUES ABOUT RACE AND GENDER IN THE FRENCH CARIBBEAN (18TH-19TH CENTURIES); [""LIVRES DE COR"" NA MARTINICA: QUESTÕES SOBRE RAÇA E GÊNERO NO CARIBE FRANCÊS (SÉCULOS XVIII-XIX)]",CANELAS L,2020,REVISTA DE HISTORIA (BRAZIL)
"""IT'S IN THE BLOOD"": THE ARTICULATION OF IDEAS ABOUT ""RACE"" BETWEEN APPEARANCE AND ANCESTRY OF FAMILIES WITH SICKLE CELL DISEASE IN SALVADOR, BAHIA; [""ESTÁ NO SANGUE"": A ARTICULAÇÃO DE IDEIAS SOBRE ""RAÇA"", APARÊNCIA E ANCESTRALIDADE ENTRE FAMÍLIAS DE PORTADORES DE DOENÇA FALCIFORME EM SALVADOR, BAHIA]",CALVO-GONZÁLEZ E;ROCHA V,2010,REVISTA DE ANTROPOLOGIA
"""RACE"" AND POVERTY IN METROPOLITAN CONTEXTS; [""RAÇA"" E POBREZA EM CONTEXTOS METROPOLITANOS]",LIMA M,2012,TEMPO SOCIAL
A LITERATURE REVIEW ON CRITICAL RACE THEORY IN SCIENTIFIC EDUCATION; [UMA REVISÃO DE LITERATURA SOBRE A TEORIA CRÍTICA DA RAÇA NA EDUCAÇÃO CIENTÍFICA],DE O A;ALVES-BRITO A;ROSA K,2024,INVESTIGACOES EM ENSINO DE CIENCIAS
"A LOOK AT THE OTHER: REFLECTIONS ON THE BRAZILIAN NARRATIVE. ALÓS, ANSELMO PERES. NARRATIVES AGAINST THE GRAIN OF THE BRAZILIAN NARRATIVE: INTERTEXTUAL NETWORKS OF GENDER, RACE AND SEXUALITY. SANTA MARIA: UFSM/PPGL; BRASÍLIA: CNPQ, 2017. 216 P.; [UM OLHAR PARA O OUTRO: RELFEXOES SOBRE A NARRATIVA BRASILEIRA: ALÓS, ANSELMO PERES. NARRATIVAS A CONTRAPELO DA NARRATIVA BRASILEIRA: REDES INTERTEXTUAIS DE GÊNERO, RAÇA E SEXUALIDADE. SANTA MARIA: UFSM/PPGL; BRASÍLIA: CNPQ, 2017. 216 P.]",DE O J;DE O A,2018,CONFLUENZE
A MULTIFACETED INTELLECTUAL IN A KALEIDOSCOPE OF IDEAS: RACE IN THE THOUGHT OF FERNANDO ORTIZ; [UM INTELECTUAL MULTIFACETADO EM UM CALEIDOSCÓPIO DE IDEIAS: RAÇA NO PENSAMENTO DE FERNANDO ORTIZ]; [UN INTELECTUAL POLIFACÉTICO EN UN CALEIDOSCOPIO DE IDEAS: RAZA EN EL PENSAMIENTO DE FERNANDO ORTIZ],CASTRO F,2016,ESTUDOS IBERO-AMERICANOS
