"";"";"";"";"information";""
"1";"information";"1.82598081089775";"-0.36187052129068";"1.50596258409363";"47"
"2";"compare";"1.9556095628897";"-0.192005522323871";"1.42624274260437";"61"
"3";"percentage";"2.62699622040106";"-0.225397279711271";"1.41050963044881";"68"
"4";"assess";"2.62699622040106";"-0.225397279711271";"1.41050963044881";"70"
"5";"mental";"2.62699622040106";"-0.225397279711271";"1.30779835959819";"87"
"6";"ses";"2.62699622040106";"-0.225397279711271";"1.30779835959819";"89"
"7";"condom";"2.62699622040106";"-0.225397279711271";"1.30779835959819";"90"
"8";"emotional";"2.62699622040106";"-0.225397279711271";"1.30779835959819";"92"
"9";"statistical";"2.11895468722912";"0.152494726665089";"1.25601695696249";"114"
"10";"coverage";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"137"
"11";"8perc";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"138"
"12";"retention";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"139"
"13";"occupational";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"140"
"14";"contextual";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"141"
"15";"birth";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"142"
"16";"vary";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"144"
"17";"undergraduate";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"145"
"18";"sectional";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"146"
"19";"quantitative";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"148"
"20";"prevalence";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"149"
"21";"logistic";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"150"
"22";"item";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"151"
"23";"homosexual";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"152"
"24";"elementary";"2.62699622040106";"-0.225397279711271";"1.20541148281264";"153"
"25";"intersection";"-0.600932615403932";"1.66300448465903";"1.12946272232974";"187"
"26";"curriculum";"-1.20196628002029";"-2.5033319930844";"1.10724172887292";"193"
"27";"african";"-1.12760125232453";"-1.16064687726413";"1.09012994194084";"201"
"28";"home";"-0.92929451180251";"2.41984676492325";"1.07930329001935";"207"
"29";"capitalist";"-0.92929451180251";"2.41984676492325";"1.07930329001935";"215"
"30";"abaetê";"-0.92929451180251";"2.41984676492325";"1.07930329001935";"216"
