"";"X";"V1"
"1";1;3
"2";2;0
"3";3;3
"4";4;3
"5";5;0
"6";6;0
"7";7;0
"8";8;2
"9";9;2
"10";10;2
"11";11;2
"12";12;2
"13";13;3
"14";14;2
"15";15;2
"16";16;0
"17";17;2
"18";18;2
"19";19;3
"20";20;3
"21";21;2
"22";22;2
"23";23;3
"24";24;3
"25";25;3
"26";26;0
"27";27;2
"28";28;2
"29";29;1
"30";30;3
"31";31;2
"32";32;2
"33";33;2
"34";34;2
"35";35;2
"36";36;2
"37";37;2
"38";38;2
"39";39;3
"40";40;2
"41";41;3
"42";42;3
"43";43;3
"44";44;2
"45";45;1
"46";46;2
"47";47;0
"48";48;2
"49";49;3
"50";50;3
"51";51;3
"52";52;3
"53";53;3
"54";54;2
"55";55;2
"56";56;0
"57";57;2
"58";58;2
"59";59;3
"60";60;2
"61";61;2
"62";62;2
"63";63;1
"64";64;1
"65";65;1
"66";66;1
"67";67;1
"68";68;1
"69";69;3
"70";70;3
"71";71;3
"72";72;0
"73";73;0
"74";74;0
"75";75;0
"76";76;0
"77";77;0
"78";78;3
"79";79;3
"80";80;1
"81";81;1
"82";82;3
"83";83;3
"84";84;2
"85";85;2
"86";86;0
"87";87;3
"88";88;2
"89";89;2
"90";90;2
"91";91;0
"92";92;2
"93";93;0
"94";94;2
"95";95;0
"96";96;0
"97";97;3
"98";98;3
"99";99;3
"100";100;3
"101";101;0
"102";102;0
"103";103;0
"104";104;3
"105";105;0
"106";106;3
"107";107;2
"108";108;0
"109";109;3
"110";110;3
"111";111;3
"112";112;2
"113";113;3
"114";114;3
"115";115;3
"116";116;3
"117";117;2
"118";118;2
"119";119;3
"120";120;0
"121";121;0
"122";122;3
"123";123;3
"124";124;3
"125";125;3
"126";126;3
"127";127;3
"128";128;3
"129";129;0
"130";130;3
"131";131;3
"132";132;3
"133";133;2
"134";134;2
"135";135;2
"136";136;2
"137";137;0
"138";138;2
"139";139;2
"140";140;2
"141";141;2
"142";142;2
"143";143;2
"144";144;2
"145";145;2
"146";146;2
"147";147;3
"148";148;2
"149";149;3
"150";150;0
"151";151;3
"152";152;0
"153";153;3
"154";154;2
"155";155;0
"156";156;0
"157";157;2
"158";158;0
"159";159;3
"160";160;3
"161";161;1
"162";162;1
"163";163;0
"164";164;1
"165";165;1
"166";166;3
"167";167;1
"168";168;1
"169";169;0
"170";170;0
"171";171;3
"172";172;1
"173";173;1
"174";174;1
"175";175;3
"176";176;3
"177";177;3
"178";178;0
"179";179;0
"180";180;0
"181";181;3
"182";182;3
"183";183;0
"184";184;3
"185";185;2
"186";186;2
"187";187;2
"188";188;3
"189";189;0
"190";190;0
"191";191;2
"192";192;3
"193";193;1
"194";194;1
"195";195;1
"196";196;1
"197";197;1
"198";198;1
"199";199;1
"200";200;1
"201";201;3
"202";202;0
"203";203;1
"204";204;3
"205";205;3
"206";206;0
"207";207;2
"208";208;3
"209";209;1
"210";210;2
"211";211;0
"212";212;2
"213";213;0
"214";214;3
"215";215;3
"216";216;2
"217";217;3
"218";218;0
"219";219;0
"220";220;3
"221";221;0
"222";222;0
"223";223;3
"224";224;0
"225";225;3
"226";226;3
"227";227;3
"228";228;3
"229";229;3
"230";230;0
"231";231;2
"232";232;2
"233";233;2
"234";234;2
"235";235;2
"236";236;2
"237";237;2
"238";238;0
"239";239;3
"240";240;3
"241";241;2
"242";242;2
"243";243;1
"244";244;3
"245";245;2
"246";246;0
"247";247;0
"248";248;2
"249";249;2
"250";250;2
"251";251;2
"252";252;2
"253";253;2
"254";254;1
"255";255;1
"256";256;1
"257";257;1
"258";258;1
"259";259;1
"260";260;1
"261";261;1
"262";262;3
"263";263;1
"264";264;2
"265";265;0
"266";266;2
"267";267;0
"268";268;0
"269";269;2
"270";270;1
"271";271;3
"272";272;3
"273";273;0
"274";274;2
"275";275;0
"276";276;0
"277";277;2
"278";278;2
"279";279;0
"280";280;2
"281";281;3
"282";282;1
"283";283;1
"284";284;2
"285";285;0
"286";286;0
"287";287;0
"288";288;2
"289";289;2
"290";290;1
"291";291;1
"292";292;1
"293";293;1
"294";294;3
"295";295;3
"296";296;3
"297";297;0
"298";298;3
"299";299;0
"300";300;0
"301";301;2
"302";302;1
"303";303;1
"304";304;1
"305";305;0
"306";306;2
"307";307;3
"308";308;2
"309";309;0
"310";310;2
"311";311;1
"312";312;2
"313";313;2
"314";314;2
"315";315;0
"316";316;3
"317";317;1
"318";318;1
"319";319;1
"320";320;1
"321";321;1
"322";322;2
"323";323;2
"324";324;3
"325";325;0
"326";326;2
"327";327;2
"328";328;0
"329";329;2
"330";330;0
"331";331;0
"332";332;0
"333";333;0
"334";334;1
"335";335;1
"336";336;1
"337";337;1
"338";338;1
"339";339;3
"340";340;3
"341";341;2
"342";342;3
"343";343;3
"344";344;3
"345";345;3
"346";346;0
"347";347;2
"348";348;0
"349";349;0
"350";350;1
"351";351;2
"352";352;1
"353";353;2
"354";354;2
"355";355;0
"356";356;2
"357";357;2
"358";358;3
"359";359;2
"360";360;2
"361";361;2
"362";362;2
"363";363;2
"364";364;2
"365";365;0
"366";366;2
"367";367;0
"368";368;3
"369";369;3
"370";370;3
"371";371;3
"372";372;0
"373";373;0
"374";374;2
"375";375;0
"376";376;2
"377";377;0
"378";378;0
"379";379;3
