"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"black";-0,073406231236182;-0,0745251459344226;-0,701738335270063;-0,712434775128503;0,600477136093121;0,399522863906795;8,68075189599603e-05;8,94740630452482e-05;0,0161098497134825;0,0566791445744696;5,17533018731053e-05
"race";0,157848147741923;0,824678369895253;0,187993014713033;0,982170365272291;0,0537069015857583;0,94629309841426;0,000509150300995789;0,0138974855879678;0,0204346415828738;0,407533241145654;0,00339385357970709
"article";-0,528185956687285;0,333355005901812;-0,845659544101539;0,533722714028528;0,795465355956765;0,204534644043235;0,00389106630171634;0,00154991861118108;0,0139474537787869;0,354335620065773;0,00175115486890626
"social";-0,33337229776334;0,683111182129821;-0,438580195493499;0,898692056335697;0,269514656412891;0,730485343587111;0,00128572478257249;0,00539848361175649;0,0115688182506217;0,384217296850744;0,00170782286066864
"racial";-0,252620919181348;-0,219309727498719;-0,755139061989636;-0,655564639877268;0,672721323904292;0,327278676095707;0,000745190994839137;0,000561622846811626;0,0116769380473565;0,184285137685209;0,000396560632818563
"study";-0,093359159648197;-0,112538747555974;-0,638475031795471;-0,769642536359427;0,516000014672816;0,483999985327184;0,00010366013579024;0,00015062673447523;0,011893177640826;0,0777625823675453;7,19182737389577e-05
"gender";-0,0863593419328139;1,3772323682818;-0,062582077012223;0,998039820666909;0,00605426648791833;0,993945733512084;8,95049074750376e-05;0,0227636888942571;0,0120012974375608;0,664075037112457;0,00529252002331777
"brazil";-0,0931771295418957;0,430992284714611;-0,211310278824374;0,977419032996169;0,0675173046960967;0,932482695303906;8,44824275348739e-05;0,00180753502578839;0,00973078170613039;0,214555857894072;0,000447948908433293
"woman";-0,172717800759842;0,349442649124643;-0,443096935496756;0,896473706113784;0,274551408230872;0,72544859176913;0,000274156372520477;0,00112221472886973;0,00919018272245648;0,197225860291652;0,000357480094849333
"brazilian";-0,609801526813621;0,229440089892417;-0,935942835251768;0,352151968815853;0,916268354172574;0,0837316458274261;0,00337723686633742;0,000478104812129594;0,0090820629257217;0,381167410098295;0,00131952015782977
"analyze";0,275222222624541;0,725045020751512;0,354885476742295;0,93490978088658;0,18248508857481;0,817514911425192;0,000630613031747457;0,00437648953648774;0,00832522434857822;0,385485817047982;0,00123712263662845
"research";-0,268345186734458;-0,92769432474033;-0,277868984506173;-0,96061898141225;0,11474665858297;0,885253341417032;0,000544992944864157;0,00651347964221852;0,00756838577143475;0,473982583103118;0,0017003096806095
"aim";-0,498367829473111;-0,614449114183442;-0,629928427359703;-0,776653189270559;0,504733287488549;0,49526671251145;0,00182605617416524;0,00277578598190242;0,00735214617796519;0,419718028028599;0,00129517776706138
"present";-0,491286020848198;0,299947592925395;-0,853500324348765;0,521092310763221;0,806050182157746;0,193949817842254;0,00156576032618136;0,00058364293546376;0,00648718780408693;0,327410018286625;0,000695409147417765
"relation";-0,576685043969319;0,85434863471043;-0,559472665412447;0,828848802047932;0,413776037818514;0,586223962181488;0,00212145883407242;0,00465615566961433;0,00637906800735215;0,53640722339573;0,0018354665206353
"analysis";-0,308171403872166;0,900096726991287;-0,323916866568457;0,946085547692423;0,153685454760115;0,846314545239888;0,00064689000890541;0,00551853923994453;0,00681154719429127;0,470342854999325;0,00150686682654144
"work";-0,802861654577467;-0,603338243194971;-0,799429923904802;-0,600759350127455;0,732847503783961;0,267152496216038;0,00439063365689531;0,00247951921820742;0,00681154719429127;0,561141652993641;0,00214481967214179
"class";-0,210008239071225;1,38876216607979;-0,14951982729962;0,988758727518646;0,0342131342475492;0,965786865752454;0,000295644345293913;0,0129286346571464;0,00670342739755649;0,679326411946631;0,0030935269960032
"education";0,395674543840878;-0,634078225616572;0,529398103218345;-0,84837353112224;0,376260399394516;0,623739600605486;0,000964842214800533;0,00247779718709703;0,00616282841388258;0,385951249941262;0,000918004858674418
"base";-0,321520027378811;-0,204261667039554;-0,844067895399871;-0,536236317266214;0,793315099105726;0,206684900894273;0,000659436971816909;0,000266152761237418;0,00637906800735215;0,215985087914302;0,000297580704279335
"understand";-1,04858841039779;0,265956058294904;-0,969308375813936;0,245848068076505;0,960130104020492;0,0398698959795078;0,00570632580951314;0,000367084657508985;0,00518975024326954;0,640292784005426;0,00212766707362657
"result";1,4449496610188;-0,0784515165084102;0,998529353166281;-0,0542137516256613;0,998100772499684;0,0018992275003155;0,0126415021387379;3,72645545224656e-05;0,0060547086171478;0,865374550631152;0,00453420848970524
"health";-0,219937312349701;-1,48628660946769;-0,1463836931585;-0,989227887990062;0,0328094824770257;0,967190517522976;0,000230120720077721;0,010509039567656;0,00475727105633041;0,726503684375692;0,00251092383502044
"de";0,639417240486561;-0,455660041908742;0,814375456599379;-0,580338363102555;0,753121358411256;0,246878641588745;0,000663078831384121;0,000336727333428927;0,00162179695102173;0,440849606261478;0,000315193602563898
"inequality";0,93656812994386;0,00677922921907927;0,999973804009434;0,00723818312167098;0,999966180082375;3,3819917623398e-05;0,00474191729931095;2,48448204156223e-07;0,00540598983673911;0,560383470879725;0,00169764101219163
"white";1,11295156336535;0,423944063809445;0,934498205030387;0,355967842360774;0,914358107366958;0,0856418926330411;0,005758723196355;0,000835585304064057;0,00464915125959563;0,69639669501789;0,00225469124702878
"school";1,70952022816081;-0,0769173891784374;0,998989324354509;-0,0449480792217054;0,998694915094747;0,00130508490525236;0,015166834436541;3,07040402622236e-05;0,00518975024326954;1,023520209334;0,00543674923861235
"discuss";-0,753628805605889;-1,09397561982525;-0,567305826588902;-0,823507194333045;0,423691286098986;0,576308713901015;0,00307036639982138;0,00646979487929527;0,00540598983673911;0,692741684596272;0,00259428609350892
"color";1,49938268243008;-0,11893994576302;0,996868468745845;-0,0790775317034683;0,995954470952824;0,00404552904717492;0,0119103982041507;7,49474347721267e-05;0,00529787004000433;0,89894132402307;0,00428118496029637
"racism";-0,878504325066239;-0,756298028426403;-0,757850612143403;-0,652428118396095;0,676400724951452;0,323599275048547;0,00408873636164389;0,00303031124254314;0,00529787004000433;0,63911714669215;0,00216402482783002
"public";-0,0797456752547859;-0,347897979668452;-0,223426879152466;-0,974720693158912;0,0752697035632874;0,924730296436715;3,300355613022e-05;0,000628131063288438;0,00518975024326954;0,173914436728415;0,000156970386260457
"population";0,425555503308236;-0,838357293684664;0,452631432773353;-0,891697698811397;0,285286286745086;0,714713713254917;0,000802789160150608;0,00311564072081796;0,00443291166612607;0,476710107884025;0,00100739037791229
"policy";-0,299096261525486;-0,194674491956944;-0,838108089219258;-0,545504198687089;0,785259221697309;0,214740778302689;0,000415906440406145;0,000176194268159136;0,00464915125959563;0,201949628967761;0,000189609370043173
"political";-0,7314017559753;0,421595209700945;-0,866373871886543;0,499395949234994;0,823398376632864;0,176601623367136;0,0020821869424992;0,000691829468087384;0,00389231268245216;0,482269273578663;0,000905288299337365
"relationship";0,338322520909761;0,793500114156239;0,392205721958806;0,919877530795688;0,219737120179862;0,780262879820139;0,000371268660897617;0,00204230435019774;0,00324359390204346;0,43183495294272;0,000604870018109119
"practice";-0,309393618556156;-0,151953556387006;-0,897587932330357;-0,440835461067862;0,865272223152016;0,134727776847983;0,000351889931983053;8,48800986219492e-05;0,00367607308898259;0,199009389862147;0,000145589908813097
"person";0,823213764675597;-0,2691106520533;0,950501096803107;-0,310721201362395;0,935468599380888;0,0645314006191113;0,00271101669229113;0,000289713492571786;0,00400043247918694;0,509256538666091;0,00103748104881006
"high";1,6970227721175;-0,302563082253788;0,984475395479402;-0,175522635849839;0,979893305969776;0,020106694030223;0,0124549088078078;0,000395910557867498;0,00432479186939129;1,02573900915274;0,00455028874428648
"process";-0,526255832846831;0,411392172721462;-0,787839277037762;0,615880892345766;0,717113861103913;0,282886138896088;0,00107795732055262;0,000658748698448855;0,00389231268245216;0,371827461297997;0,000538134262635018
"group";0,438749901734671;0,0168616770963774;0,99926233916395;0,0384028322990775;0,999047513207704;0,000952486792294324;0,000770089157970677;1,13738757882933e-06;0,00400043247918694;0,262641021082075;0,000275951056366775
"student";1,87075944304581;-0,115186337404838;0,998109819195851;-0,0614555841630783;0,997558763349827;0,00244123665017147;0,0128653033179082;4,87737419225e-05;0,00367607308898259;1,12069465211425;0,004616987902631
"context";-0,257557619582899;0,366862040907549;-0,574591021973141;0,818440686591192;0,432962161419675;0,567037838580327;0,000236683490579729;0,000480202830894381;0,00356795329224781;0,234200613599182;0,000195701979082895
"state";-0,577065417612161;-0,771290246028908;-0,599067924051507;-0,800698209297747;0,464432891492466;0,535567108507535;0,00126015324544669;0,00225117337297834;0,00378419288571737;0,506643134092159;0,000971354123288506
"debate";-1,10068819468226;-0,674722740110128;-0,852564188116682;-0,522622526438483;0,804787129664763;0,195212870335236;0,00458460455908218;0,00172275674783871;0,00378419288571737;0,734112120991348;0,00203937952389713
"data";1,17296823722795;-0,0881233490937897;0,99718974477736;-0,0749173738919281;0,996369759739024;0,00363024026097522;0,0056527700779257;3,19058857075603e-05;0,00410855227592172;0,703095924435645;0,00203103766898092
"point";-0,000710943658776712;0,952480395476312;-0,000746412696900137;0,999999721434004;8,63082988886967e-07;0,999999136917014;1,80338947307914e-09;0,00323691467448389;0,00356795329224781;0,457875603369574;0,000748021650915203
"objective";0,420509309554175;0,0489014782674022;0,993306012493088;0,115512620717741;0,991345872378347;0,00865412762165229;0,000573558480122379;7,75658312272853e-06;0,00324359390204346;0,252697887394286;0,000207123653238843
"action";-0,76105461398783;-1,01238895423986;-0,600890441354188;-0,79933139403452;0,466794725489367;0,533205274510633;0,00194132640173393;0,00343527659581288;0,00335171369877825;0,666486643807312;0,00148884612796838
"experience";-0,571390151974749;1,16786115246395;-0,43948065074906;0,89825205683994;0,270516247118842;0,729483752881161;0,000917791582886463;0,00383407843629528;0,00281111471510434;0,65731670803339;0,00121458499525962
"relate";-0,207175624478385;0,601220065502556;-0,325791612442404;0,94544160330619;0,155371320511415;0,844628679488588;0,000167064830533929;0,00140693701133791;0,00389231268245216;0,314479127333923;0,000384938520384194
"field";-0,784259002430013;1,10584917217824;-0,578483457738505;0,81569411492477;0,437934303255516;0,562065696744486;0,00226101353858208;0,00449547857224007;0,00367607308898259;0,709077374202926;0,00184829544476393
"concept";-0,4175068155045;0,0333430692446885;-0,996826177626947;0,079608866325621;0,995899800369418;0,00410019963058117;0,00043347114745727;2,76467576311927e-06;0,00248675532489999;0,250319304961068;0,000155819478001126
"focus";-0,84059021590178;-0,29180962918615;-0,944695243855366;-0,327949533064236;0,927822656085039;0,0721773439149603;0,00236829378777855;0,000285408006298898;0,00335171369877825;0,522144180070443;0,000913792938504108
"society";-0,578887719039061;0,723927427324966;-0,624527797862808;0,78100257982713;0,49763599000417;0,502364009995832;0,000905803306450013;0,00141656103371539;0,00270299491836955;0,490994969752852;0,00065162736599255
"order";-0,58680369504851;-0,947118058814896;-0,526674156320381;-0,85006725208316;0,372908892688137;0,627091107311863;0,00104243487324385;0,00271563555901528;0,0030273543085739;0,574949985533837;0,00100074490260894
"identity";-0,513446494666793;1,9054903292468;-0,260176570705125;0,965561055581738;0,101106647493591;0,898893352506411;0,000712583260043295;0,00981428639542946;0,00270299491836955;0,966148614979074;0,00252309208083572
"cultural";-0,792477054969769;2,10449581481316;-0,352406205291367;0,935847138411043;0,18010648988851;0,819893510111493;0,00162963316938971;0,0114924492625783;0,00259487512163477;1,11727636836395;0,00323919943770235
"issue";-1,09853905759286;-0,635919360736669;-0,865452566101566;-0,500990873996937;0,822158205324105;0,177841794675893;0,0037838527160399;0,00126796513865632;0,00313547410530868;0,724897166613286;0,00164761608419885
"movement";-1,08341333731691;-0,362819489602812;-0,94824080582166;-0,317552159770153;0,932493727669592;0,0675062723304067;0,0029189147548872;0,000327351452786229;0,00248675532489999;0,671289440215647;0,00112060533987846
"discourse";-0,819763494700501;1,72325555217695;-0,42957712729178;0,903030172091576;0,259570858084602;0,7404291419154;0,0018164455272018;0,00802683992352873;0,00270299491836955;0,962718252278224;0,00250520713933841
"violence";-0,798350074996671;-1,58307457876205;-0,450284989229754;-0,892884890943038;0,282631678837002;0,717368321162999;0,00144714235995145;0,00569019651425838;0,00227051573143042;0,898507173561252;0,00183302172772858
"theoretical";-1,10823535969543;-0,810989295019269;-0,807000698095719;-0,590550483255261;0,743119893627689;0,256880106372311;0,00424931772076292;0,00227554507215344;0,00345983349551303;0,769203331291483;0,00204709271011323
"historical";-0,753179964707336;0,824278259447171;-0,674551662969497;0,738227643742149;0,563972745184423;0,436027254815579;0,00171735773149781;0,00205688941203624;0,0030273543085739;0,600078819477126;0,00109013390727448
"year";1,20675521412704;-0,15476086985331;0,99187661889909;-0,12720366693342;0,989494836035697;0,0105051639643022;0,00409370870552411;6,73288028739955e-05;0,00281111471510434;0,725856909812521;0,00148108710039865
"show";0,28237965650924;0,420149872266425;0,557814048834385;0,829965955279486;0,41168381242249;0,58831618757751;0,00024139599648478;0,000534406489851207;0,0030273543085739;0,263323796385039;0,000209914997166572
"national";0,185443051616291;0,261719072043094;0,578139214298804;0,815938140357443;0,437494055554096;0,562505944445904;0,000100389921678515;0,000199958434654519;0,00291923451183912;0,16775021468101;8,21476518747079e-05
"construction";-1,03599216023556;0,493385511789823;-0,902841604112995;0,429973299034572;0,872289696642487;0,127710303357513;0,00266898414851327;0,00060534901660876;0,00248675532489999;0,663689115242656;0,00109537404680574
"century";-0,729937067155723;-0,0584384927742733;-0,996810551704716;-0,0798042856627366;0,99587960018235;0,00412039981764827;0,000633678164351484;4,06158847605328e-06;0,0011893177640826;0,437643615909057;0,000227792332144609
"science";-0,552926112331509;0,858396569842023;-0,541519475894751;0,840688204524528;0,391270582289308;0,608729417710694;0,000793324127662762;0,00191201990558949;0,00259487512163477;0,528892123627435;0,000725856317703892
"paper";0,49633533117326;0,010486441390913;0,999776884098344;0,0211230211524617;0,999711937907735;0,000288062092263589;0,000506068381278682;2,25899406190507e-07;0,00205427613796086;0,297013609441462;0,000181222251019078
"form";-0,655522005930214;0,995733342099094;-0,549870720025989;0,835249777765969;0,401700152627722;0,59829984737228;0,000975661272076353;0,0022511820369688;0,00227051573143042;0,618835008840996;0,000869509366581463
"production";-1,08077882747906;-0,315252545080998;-0,959993938368092;-0,28002078190113;0,947937093327349;0,0520629066726493;0,00340990783825592;0,000290125690762382;0,00291923451183912;0,664179805779417;0,00128777597458536
"produce";-0,723827540191473;0,558350175201157;-0,79179869253694;0,61078214651117;0,722489234905603;0,277510765094398;0,00135952334204253;0,000808965081147358;0,00259487512163477;0,509516215821704;0,000673647159741212
"paulo";1,70383956632294;-0,179483613303596;0,994497423931566;-0,10476103184619;0,992887901293018;0,00711209870698107;0,00251103407310417;2,78640868803243e-05;0,000864958373878257;1,02309788603166;0,000905377259727493
"seek";-1,0656303959114;-0,0417426140805737;-0,999233668554407;-0,0391417376632811;0,999010487054708;0,000989512945290489;0,00245554793099857;3,76785777982421e-06;0,00216239593469564;0,637911121263714;0,000879945072184948
"role";-0,630258344832329;-1,29758112162303;-0,436906574919596;-0,899506889796864;0,267656437707534;0,732343562292466;0,000944854880211624;0,00400494852181153;0,00237863552816521;0,728900679883576;0,0012637600199983
"propose";-0,56428743600725;0,653264121591704;-0,65368939580204;0,75676295748138;0,536155183349113;0,463844816650889;0,000826260941772655;0,00110737337024711;0,00259487512163477;0,461098515206106;0,000551701176062992
"main";-0,720443855505876;-0,176452076474155;-0,971292063921265;-0,237890156508354;0,962721429566265;0,037278570433734;0,00117848700699098;7,06932685839403e-05;0,00227051573143042;0,439327530981991;0,000438229243059073
"city";0,712129712011303;0,857187626893297;0,639022140238258;0,769188341230752;0,516722661809395;0,483277338190605;0,000822459822785114;0,0011916487637025;0,00162179695102173;0,59274643308369;0,000569815656719814
"approach";-0,746229139060388;-1,70320827404209;-0,401304244877457;-0,915944814409325;0,229212462842504;0,770787537157497;0,00162559888155863;0,00846846118160521;0,00291923451183912;0,932592003436274;0,00253893954066155
"african";-1,12760125232453;-1,16064687726413;-0,696822473427441;-0,717243640980151;0,593858460553239;0,40614153944676;0,0015121992027984;0,00160213135590147;0,0011893177640826;0,87549298978253;0,000911597764811535
"access";0,855029756768626;-0,244588064801104;0,961436619022731;-0,275026594354329;0,949828333072171;0,050171666927828;0,00181800684982979;0,000148765963151954;0,00248675532489999;0,524925011803227;0,000685216149246644
"rio";2,11895468722912;0,152494726665089;0,997420394343284;0,0717813133627988;0,996667868617922;0,00333213138207662;0,00339818172404712;1,76000099064355e-05;0,000756838577143475;1,2699453682979;0,0012205999209892
"method";1,48537039577002;-0,490579256998079;0,949551186817022;-0,313612090988828;0,934218659580536;0,0657813404194639;0,00548659097096872;0,000598482448927031;0,00248675532489999;0,919494408782057;0,00210247694442358
"low";2,47237488421829;-0,110386669074987;0,999004764404022;-0,0446035951248831;0,998714856959688;0,00128514304031094;0,0152006340216898;3,03016525373367e-05;0,00248675532489999;1,48024010074161;0,00544875633953955
"ethnic";-0,0430551446099579;-0,680308084975969;-0,0631613508351537;-0,998003328531864;0,00616661837909602;0,993833381620907;4,20895826846926e-06;0,00105083802574949;0,00227051573143042;0,328050053758157;0,000244345723125238
"difference";0,132370427401653;0,194878618398062;0,56188316656391;0,827216602306865;0,416821278100703;0,583178721899297;4,73616878865181e-05;0,000102653464992803;0,00270299491836955;0,12267459366953;4,06775217104129e-05
"critical";-1,01228157169488;0,92148801248614;-0,739491931295328;0,673165420642732;0,65150329201227;0,348496707987732;0,00254821294724189;0,00211160380739324;0,00248675532489999;0,750380640583593;0,00140022007055258
"contribute";-0,408906603114243;-1,55542717460901;-0,25425118596575;-0,967138218888598;0,0967098702713113;0,90329012972869;0,000361562569078666;0,00523160059576637;0,00216239593469564;0,786732915831913;0,00133841211126259
"university";-0,682734145869266;0,186050857256739;-0,96481738225901;0,262920936577653;0,954256380803856;0,0457436191961437;0,000503974390675571;3,74255827505324e-05;0,00108119796734782;0,418174633684111;0,00018906911477656
"são";2,62699622040106;-0,225397279711271;0,996339346345391;-0,0854862967032636;0,995270394933594;0,00472960506640483;0,00447687910606646;3,2957465910633e-05;0,000648718780408693;1,5755329945347;0,00161031736416962
"perspective";-0,889791033229855;-0,0504880743487019;-0,998394078093816;-0,0566503735839322;0,997926016696209;0,00207398330378939;0,00179763106704955;5,78764825172896e-06;0,00227051573143042;0,532938935102264;0,000644880752460442
"identify";-0,354372249470687;-0,570791423007478;-0,527457324456219;-0,849581526916333;0,373871660929208;0,626128339070792;0,000271553013720218;0,000704514755279276;0,00216239593469564;0,346766415511455;0,000260021509193778
"history";-0,880496097095113;-0,631743330647985;-0,812501935043544;-0,582958493848831;0,750581068550867;0,249418931449132;0,00142498079889668;0,000733559715527036;0,0018380365444913;0,608089115207139;0,000679655132940624
