"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"197";"688";"28.63";"****";""
" 0";" 48";" 0.00";"-20.703";"understand";"5.363037e-06"
"18";"129";"13.95";"-16.744";"article";"4.277545e-05"
" 0";" 35";" 0.00";"-14.795";"debate";"1.198246e-04"
" 5";" 63";" 7.94";"-14.538";"work";"1.373676e-04"
" 0";" 32";" 0.00";"-13.465";"theoretical";"2.430031e-04"
"10";" 84";"11.90";"-13.104";"brazilian";"2.946949e-04"
" 3";" 49";" 6.12";"-13.083";"racism";"2.979612e-04"
" 0";" 29";" 0.00";"-12.147";"issue";"4.915456e-04"
" 0";" 27";" 0.00";"-11.275";"production";"7.853706e-04"
" 0";" 24";" 0.00";" -9.977";"text";"1.584754e-03"
" 0";" 23";" 0.00";" -9.547";"movement";"2.002466e-03"
" 0";" 23";" 0.00";" -9.547";"construction";"2.002466e-03"
" 0";" 23";" 0.00";" -9.547";"critical";"2.002466e-03"
" 0";" 23";" 0.00";" -9.547";"theory";"2.002466e-03"
" 5";" 50";"10.00";" -9.161";"discuss";"2.471613e-03"
" 2";" 34";" 5.88";" -9.060";"field";"2.612453e-03"
" 7";" 59";"11.86";" -8.881";"relation";"2.881934e-03"
" 0";" 20";" 0.00";" -8.265";"seek";"4.042350e-03"
" 2";" 31";" 6.45";" -7.817";"focus";"5.176764e-03"
" 1";" 25";" 4.00";" -7.704";"discourse";"5.510518e-03"
" 3";" 36";" 8.33";" -7.661";"political";"5.642959e-03"
" 1";" 24";" 4.17";" -7.285";"cultural";"6.953625e-03"
" 0";" 17";" 0.00";" -6.994";"culture";"8.180256e-03"
" 1";" 23";" 4.35";" -6.868";"develop";"8.775147e-03"
" 2";" 28";" 7.14";" -6.597";"historical";"1.021569e-02"
" 0";" 16";" 0.00";" -6.572";"reflection";"1.035723e-02"
" 0";" 16";" 0.00";" -6.572";"feminism";"1.035723e-02"
" 0";" 15";" 0.00";" -6.152";"body";"1.312288e-02"
" 0";" 15";" 0.00";" -6.152";"formation";"1.312288e-02"
"20";"107";"18.69";" -6.129";"social";"1.329877e-02"
" 1";" 21";" 4.76";" -6.041";"perspective";"1.398032e-02"
" 1";" 21";" 4.76";" -6.041";"highlight";"1.398032e-02"
" 1";" 21";" 4.76";" -6.041";"project";"1.398032e-02"
" 9";" 60";"15.00";" -5.979";"present";"1.447614e-02"
" 0";" 14";" 0.00";" -5.734";"bring";"1.664159e-02"
"11";" 68";"16.18";" -5.730";"aim";"1.667440e-02"
" 3";" 31";" 9.68";" -5.708";"action";"1.688307e-02"
" 0";" 13";" 0.00";" -5.316";"idea";"2.112634e-02"
" 0";" 13";" 0.00";" -5.316";"dialogue";"2.112634e-02"
" 0";" 13";" 0.00";" -5.316";"struggle";"2.112634e-02"
" 0";" 13";" 0.00";" -5.316";"element";"2.112634e-02"
" 0";" 13";" 0.00";" -5.316";"address";"2.112634e-02"
" 0";" 13";" 0.00";" -5.316";"specific";"2.112634e-02"
" 0";" 13";" 0.00";" -5.316";"country";"2.112634e-02"
" 1";" 19";" 5.26";" -5.223";"subject";"2.229571e-02"
" 2";" 24";" 8.33";" -5.015";"produce";"2.512888e-02"
" 0";" 12";" 0.00";" -4.900";"feminist";"2.685465e-02"
" 0";" 12";" 0.00";" -4.900";"center";"2.685465e-02"
" 0";" 12";" 0.00";" -4.900";"argue";"2.685465e-02"
" 1";" 18";" 5.56";" -4.817";"reflect";"2.817288e-02"
" 1";" 18";" 5.56";" -4.817";"author";"2.817288e-02"
" 2";" 23";" 8.70";" -4.629";"discussion";"3.143534e-02"
" 0";" 11";" 0.00";" -4.485";"african";"3.419050e-02"
" 0";" 11";" 0.00";" -4.485";"racist";"3.419050e-02"
" 0";" 11";" 0.00";" -4.485";"framework";"3.419050e-02"
" 0";" 11";" 0.00";" -4.485";"affirmative";"3.419050e-02"
" 1";" 17";" 5.88";" -4.415";"history";"3.561827e-02"
" 1";" 17";" 5.88";" -4.415";"power";"3.561827e-02"
" 1";" 17";" 5.88";" -4.415";"scientific";"3.561827e-02"
" 3";" 27";"11.11";" -4.223";"approach";"3.988956e-02"
" 0";" 10";" 0.00";" -4.071";"view";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"meaning";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"intersectionality";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"book";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"methodological";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"sociological";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"legal";"4.361518e-02"
" 0";" 10";" 0.00";" -4.071";"hypothesis";"4.361518e-02"
" 5";" 36";"13.89";" -4.042";"process";"4.439200e-02"
" 1";" 16";" 6.25";" -4.016";"promote";"4.506081e-02"
" 1";" 16";" 6.25";" -4.016";"academic";"4.506081e-02"
" 2";" 21";" 9.52";" -3.871";"violence";"4.912588e-02"
" 2";" 21";" 9.52";" -3.871";"form";"4.912588e-02"
" 2";" 21";" 9.52";" -3.871";"main";"4.912588e-02"
" 3";" 26";"11.54";" -3.864";"experience";"4.932023e-02"
" 5";" 35";"14.29";" -3.715";"state";"5.392651e-02"
" 0";"  9";" 0.00";" -3.659";"afro";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"image";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"american";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"racialized";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"organization";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"object";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"specifically";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"international";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"intersectional";"5.577175e-02"
" 0";"  9";" 0.00";" -3.659";"face";"5.577175e-02"
" 1";" 15";" 6.67";" -3.621";"establish";"5.705202e-02"
" 3";" 25";"12.00";" -3.513";"society";"6.090553e-02"
" 3";" 25";"12.00";" -3.513";"identity";"6.090553e-02"
" 2";" 20";"10.00";" -3.500";"category";"6.136815e-02"
" 0";"  8";" 0.00";" -3.248";"slavery";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"decolonial";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"mobilize";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"anti";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"literary";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"figure";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"current";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"reproduction";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"possibility";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"medium";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"articulate";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"write";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"topic";"7.153082e-02"
" 0";"  8";" 0.00";" -3.248";"fundamental";"7.153082e-02"
" 1";" 14";" 7.14";" -3.230";"examine";"7.230366e-02"
" 1";" 14";" 7.14";" -3.230";"importance";"7.230366e-02"
" 1";" 14";" 7.14";" -3.230";"contribution";"7.230366e-02"
" 3";" 24";"12.50";" -3.168";"science";"7.511291e-02"
" 3";" 24";"12.50";" -3.168";"propose";"7.511291e-02"
" 2";" 19";"10.53";" -3.135";"theme";"7.662161e-02"
"12";" 63";"19.05";" -3.119";"analysis";"7.740239e-02"
" 4";" 28";"14.29";" -2.940";"order";"8.638629e-02"
" 1";" 13";" 7.69";" -2.844";"life";"9.173823e-02"
" 1";" 13";" 7.69";" -2.844";"narrative";"9.173823e-02"
" 0";"  7";" 0.00";" -2.837";"eugenics";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"colonial";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"mark";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"challenge";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"tradition";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"sociology";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"attention";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"articulation";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"demand";"9.209179e-02"
" 0";"  7";" 0.00";" -2.837";"anthropological";"9.209179e-02"
" 2";" 18";"11.11";" -2.777";"worker";"9.561301e-02"
"24";"108";"22.22";" -2.577";"racial";"1.084196e-01"
" 3";" 22";"13.64";" -2.501";"role";"1.137400e-01"
" 1";" 12";" 8.33";" -2.463";"space";"1.165575e-01"
" 1";" 12";" 8.33";" -2.463";"teacher";"1.165575e-01"
" 0";"  6";" 0.00";" -2.429";"construct";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"memory";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"silence";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"represent";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"religious";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"nation";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"argument";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"unite";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"start";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"read";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"modern";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"light";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"lead";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"favela";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"event";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"character";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"relevant";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"recognition";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"reason";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"labour";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"discipline";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"continuity";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"constitution";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"analytical";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"latin";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"ideal";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"epistemological";"1.191460e-01"
" 0";"  6";" 0.00";" -2.429";"democracy";"1.191460e-01"
"12";" 59";"20.34";" -2.173";"base";"1.404682e-01"
" 1";" 11";" 9.09";" -2.089";"century";"1.483364e-01"
" 1";" 11";" 9.09";" -2.089";"central";"1.483364e-01"
" 1";" 11";" 9.09";" -2.089";"intend";"1.483364e-01"
" 1";" 11";" 9.09";" -2.089";"methodology";"1.483364e-01"
" 1";" 11";" 9.09";" -2.089";"contemporary";"1.483364e-01"
" 2";" 16";"12.50";" -2.087";"conclude";"1.485973e-01"
" 0";"  5";" 0.00";" -2.021";"language";"1.551578e-01"
" 0";"  5";" 0.00";" -2.021";"racialization";"1.551578e-01"
" 0";"  5";" 0.00";" -2.021";"story";"1.551578e-01"
