"";"classe 1";"classe 2";"classe 3"
"black";-0,298;0,228;0,002
"race";1,235;-42,674;29,184
"article";-16,744;0,006;14,139
"social";-6,129;-4,905;20,302
"racial";-2,577;2,833;-0,024
"study";-0,33;0,416;-0,009
"gender";-1,203;-41,032;53,981
"brazil";-0,48;-2,875;5,393
"woman";-1,236;-1,151;4,413
"brazilian";-13,104;0,519;7,2
"analyze";1,755;-13,846;5,899
"research";-1,273;15,365;-7,892
"aim";-5,73;11,227;-1,126
"present";-5,979;0,005;4,946
"relation";-8,881;-2,398;18,675
"analysis";-3,119;-5,972;16,534
"work";-14,538;15,586;-0,102
"class";-1,96;-18,695;31,111
"education";4,175;0,911;-8,163
"base";-2,173;1,726;0,007
"understand";-20,703;1,912;8,419
"result";45,896;-11,111;-9,382
"health";-0,304;20,374;-15,493
"de";2,44;-0,011;-1,856
"inequality";16,978;-5,075;-2,692
"white";19,541;-12,966;-0,35
"school";54,285;-13,33;-10,928
"discuss";-9,161;23,506;-3,784
"color";42,88;-9,616;-9,486
"racism";-13,083;16,537;-0,385
"public";-0,061;1,141;-0,677
"population";3,512;1,67;-9,191
"policy";-1,332;1,071;0,004
"political";-7,661;0,039;5,764
"relationship";0,991;-6,266;2,36
"practice";-1,133;0,685;0,033
"person";9,876;-0,989;-3,861
"high";44,679;-7,205;-13,093
"process";-4,042;-0,027;4,185
"group";2,713;-0,989;-0,317
"student";45,131;-10,498;-9,621
"context";-0,934;-0,282;2,045
"state";-3,715;8,287;-1,067
"debate";-14,795;13,02;0,002
"data";20,02;-4,649;-4,275
"point";-0,031;-5,79;6,451
"objective";1,983;-0,871;-0,16
"action";-5,708;12,847;-1,679
"experience";-3,864;-2,818;12,243
"relate";-0,764;-1,545;4,185
"field";-9,06;-1,935;17,59
"concept";-1,472;0,217;0,46
"focus";-7,817;4,156;0,372
"society";-3,513;-0,498;6,019
"order";-2,94;8,802;-1,74
"identity";-3,513;-10,731;24,886
"cultural";-7,285;-10,175;32,228
"issue";-12,147;10,102;0,017
"movement";-9,547;5,057;0,46
"discourse";-7,704;-5,853;24,886
"violence";-3,871;16,565;-4,711
"theoretical";-13,465;14,284;-0,083
"historical";-6,597;-0,468;9,502
"year";14,317;-2,818;-3,576
"show";0,716;-2,236;0,465
"national";0,304;-0,933;0,19
"construction";-9,547;0,217;5,942
"century";-2,089;0,583;0,362
"science";-3,168;-1,011;7,079
"paper";1,735;-0,592;-0,227
"form";-3,871;-1,113;8,325
"production";-11,275;5,458;0,711
"produce";-5,015;-0,017;4,972
"paulo";8,515;-1,746;-2,051
"seek";-8,265;2,161;1,55
"role";-2,501;11,332;-3,379
"propose";-3,168;-0,324;4,972
"main";-3,871;1,624;0,345
"city";2,44;-5,285;0,646
"approach";-4,223;23,163;-7,96
"african";-4,485;7,185;-0,434
"access";6,453;-0,761;-2,313
"rio";11,276;-3,74;-1,538
