"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;6;9;10;13;15;16;18
"2";3;5;6;9;10;13;15;16;19
"3";3;5;6;9;10;13;15;16;18
"4";3;5;6;9;10;13;15;16;18
"5";3;5;7;7;7;7;7;7;7
"6";3;5;7;7;7;7;7;7;7
"7";3;5;7;7;7;7;7;7;7
"8";3;5;6;9;10;13;14;14;14
"9";3;5;6;9;10;13;14;14;14
"10";3;5;6;9;10;13;14;14;14
"11";3;5;6;9;10;13;14;14;14
"12";3;5;6;9;10;13;14;14;14
"13";3;5;6;9;10;13;15;16;18
"14";3;5;6;9;10;13;14;14;14
"15";3;5;6;9;10;13;14;14;14
"16";3;5;7;7;7;7;7;7;7
"17";3;5;6;9;10;13;14;14;14
"18";3;5;6;9;10;13;14;14;14
"19";3;5;6;9;10;13;15;16;18
"20";3;5;6;9;10;13;15;16;18
"21";3;5;6;9;10;13;14;14;14
"22";3;5;6;9;10;13;14;14;14
"23";3;5;6;9;10;13;15;16;18
"24";3;5;6;9;10;13;15;16;18
"25";3;5;6;9;10;13;15;16;18
"26";3;5;7;7;7;7;7;7;7
"27";3;5;6;9;10;13;14;14;14
"28";3;5;6;9;10;13;14;14;14
"29";3;4;4;4;4;4;4;4;4
"30";3;5;6;9;10;13;15;16;18
"31";3;5;6;9;10;13;14;14;14
"32";3;5;6;9;10;13;14;14;14
"33";3;5;6;9;10;13;14;14;14
"34";3;5;6;9;10;13;14;14;14
"35";3;5;6;9;10;13;14;14;14
"36";3;5;6;9;10;13;14;14;14
"37";3;5;6;9;10;13;14;14;14
"38";3;5;6;9;10;13;14;14;14
"39";3;5;6;9;10;13;15;16;18
"40";3;5;6;9;10;13;14;14;14
"41";3;5;6;9;10;13;15;16;18
"42";3;5;6;9;10;13;15;16;18
"43";3;5;6;9;10;13;15;16;18
"44";3;5;6;9;10;13;14;14;14
"45";3;4;4;4;4;4;4;4;4
"46";3;5;6;9;10;13;14;14;14
"47";3;5;6;8;8;8;8;8;8
"48";3;5;6;9;10;13;14;14;14
"49";3;5;6;9;10;13;15;16;18
"50";3;5;6;9;10;13;15;16;18
"51";3;5;6;9;10;13;15;16;18
"52";3;5;6;9;10;13;15;16;18
"53";3;5;6;9;10;13;15;16;18
"54";3;5;6;9;10;13;14;14;14
"55";3;5;6;9;10;13;14;14;14
"56";3;5;6;9;10;13;15;17;17
"57";3;5;6;9;10;13;14;14;14
"58";3;5;6;9;10;13;14;14;14
"59";3;5;6;9;10;13;15;16;18
"60";3;5;6;9;10;13;14;14;14
"61";3;5;6;9;10;13;14;14;14
"62";3;5;6;9;10;13;14;14;14
"63";3;4;4;4;4;4;4;4;4
"64";3;4;4;4;4;4;4;4;4
"65";3;4;4;4;4;4;4;4;4
"66";3;4;4;4;4;4;4;4;4
"67";3;4;4;4;4;4;4;4;4
"68";3;4;4;4;4;4;4;4;4
"69";3;5;6;9;10;13;15;16;18
"70";3;5;6;9;10;13;15;16;18
"71";3;5;6;9;10;13;15;16;18
"72";3;5;6;9;10;13;15;17;17
"73";3;5;6;9;10;13;15;17;17
"74";3;5;6;9;10;13;15;17;17
"75";3;5;6;9;10;13;15;17;17
"76";3;5;6;9;10;13;15;17;17
"77";3;5;6;9;10;13;15;17;17
"78";3;5;6;9;10;13;15;16;18
"79";3;5;6;9;10;13;15;16;18
"80";3;4;4;4;4;4;4;4;4
"81";3;4;4;4;4;4;4;4;4
"82";3;5;6;9;10;13;15;16;18
"83";3;5;6;9;10;13;15;16;18
"84";3;5;6;9;10;13;14;14;14
"85";3;5;6;9;10;13;14;14;14
"86";3;5;6;8;8;8;8;8;8
"87";3;5;6;9;10;13;15;16;18
"88";3;5;6;9;10;13;14;14;14
"89";3;5;6;9;10;13;14;14;14
"90";3;5;6;9;10;13;14;14;14
"91";3;5;6;9;10;13;15;17;17
"92";3;5;6;9;10;13;14;14;14
"93";3;5;7;7;7;7;7;7;7
"94";3;5;6;9;10;13;14;14;14
