"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"197";"688";"28.63";"****";""
"36";"48";" 75.00";"54.285";"school";"1.733819e-13"
"22";"23";" 95.65";"52.301";"low";"4.760563e-13"
"38";"56";" 67.86";"45.896";"result";"1.246689e-11"
"27";"34";" 79.41";"45.131";"student";"1.843267e-11"
"30";"40";" 75.00";"44.679";"high";"2.320895e-11"
"34";"49";" 69.39";"42.880";"color";"5.820485e-11"
"18";"20";" 90.00";"37.960";"income";"7.219542e-10"
"18";"21";" 85.71";"34.537";"skin";"4.181747e-09"
"18";"22";" 81.82";"31.458";"age";"2.037673e-08"
"14";"15";" 93.33";"31.412";"socioeconomic";"2.086750e-08"
"15";"17";" 88.24";"30.301";"young";"3.699021e-08"
"11";"11";"100.00";"27.862";"male";"1.303033e-07"
"14";"17";" 82.35";"24.615";"aid";"6.999737e-07"
"11";"12";" 91.67";"23.746";"live";"1.099333e-06"
"13";"16";" 81.25";"22.193";"survey";"2.466200e-06"
"14";"18";" 77.78";"21.845";"level";"2.955451e-06"
" 8";" 8";"100.00";"20.174";"95percci";"7.071992e-06"
" 8";" 8";"100.00";"20.174";"occur";"7.071992e-06"
" 8";" 8";"100.00";"20.174";"regression";"7.071992e-06"
"23";"38";" 60.53";"20.020";"data";"7.662999e-06"
"25";"43";" 58.14";"19.541";"white";"9.847569e-06"
"16";"23";" 69.57";"19.509";"method";"1.001173e-05"
" 9";"10";" 90.00";"18.700";"risk";"1.529622e-05"
" 7";" 7";"100.00";"17.626";"cohort";"2.688821e-05"
" 7";" 7";"100.00";"17.626";"district";"2.688821e-05"
" 7";" 7";"100.00";"17.626";"average";"2.688821e-05"
" 7";" 7";"100.00";"17.626";"rate";"2.688821e-05"
"11";"14";" 78.57";"17.440";"information";"2.965422e-05"
"11";"14";" 78.57";"17.440";"increase";"2.965422e-05"
"27";"50";" 54.00";"16.978";"inequality";"3.782020e-05"
" 9";"11";" 81.82";"15.474";"compare";"8.366605e-05"
"10";"13";" 76.92";"15.120";"hiv";"1.008735e-04"
"10";"13";" 76.92";"15.120";"conclusion";"1.008735e-04"
" 6";" 6";"100.00";"15.086";"são";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"chance";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"bully";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"percentage";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"municipality";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"assess";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"sample";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"maternal";"1.027290e-04"
" 6";" 6";"100.00";"15.086";"household";"1.027290e-04"
"12";"17";" 70.59";"15.014";"individual";"1.067068e-04"
"12";"17";" 70.59";"15.014";"find";"1.067068e-04"
"16";"26";" 61.54";"14.317";"year";"1.544694e-04"
" 8";"10";" 80.00";"13.102";"adolescent";"2.949497e-04"
" 5";" 5";"100.00";"12.553";"mental";"3.955372e-04"
" 5";" 5";"100.00";"12.553";"survival";"3.955372e-04"
" 5";" 5";"100.00";"12.553";"ses";"3.955372e-04"
" 5";" 5";"100.00";"12.553";"condom";"3.955372e-04"
" 5";" 5";"100.00";"12.553";"std";"3.955372e-04"
" 5";" 5";"100.00";"12.553";"emotional";"3.955372e-04"
" 5";" 5";"100.00";"12.553";"adjust";"3.955372e-04"
"12";"19";" 63.16";"11.397";"factor";"7.356164e-04"
" 6";" 7";" 85.71";"11.276";"rio";"7.852655e-04"
" 6";" 7";" 85.71";"11.276";"sport";"7.852655e-04"
" 6";" 7";" 85.71";"11.276";"sexual";"7.852655e-04"
" 6";" 7";" 85.71";"11.276";"statistical";"7.852655e-04"
" 6";" 7";" 85.71";"11.276";"metropolitan";"7.852655e-04"
"10";"15";" 66.67";"10.855";"female";"9.855079e-04"
" 7";" 9";" 77.78";"10.778";"pattern";"1.027216e-03"
" 8";"11";" 72.73";"10.636";"brown";"1.109169e-03"
" 4";" 4";"100.00";"10.028";"pr";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"coverage";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"8perc";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"retention";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"occupational";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"contextual";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"birth";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"adult";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"vary";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"undergraduate";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"sectional";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"range";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"quantitative";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"prevalence";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"logistic";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"item";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"homosexual";"1.541914e-03"
" 4";" 4";"100.00";"10.028";"elementary";"1.541914e-03"
"12";"20";" 60.00";" 9.917";"effect";"1.637249e-03"
"19";"37";" 51.35";" 9.876";"person";"1.674831e-03"
"11";"18";" 61.11";" 9.541";"profile";"2.009716e-03"
" 9";"14";" 64.29";" 8.889";"case";"2.868923e-03"
" 5";" 6";" 83.33";" 8.862";"janeiro";"2.910993e-03"
" 5";" 6";" 83.33";" 8.862";"patient";"2.910993e-03"
" 5";" 6";" 83.33";" 8.862";"determine";"2.910993e-03"
" 8";"12";" 66.67";" 8.645";"variable";"3.279348e-03"
" 6";" 8";" 75.00";" 8.515";"paulo";"3.521607e-03"
" 6";" 8";" 75.00";" 8.515";"wage";"3.521607e-03"
" 6";" 8";" 75.00";" 8.515";"questionnaire";"3.521607e-03"
" 6";" 8";" 75.00";" 8.515";"vulnerability";"3.521607e-03"
"10";"17";" 58.82";" 7.774";"man";"5.299295e-03"
"10";"17";" 58.82";" 7.774";"observe";"5.299295e-03"
" 3";" 3";"100.00";" 7.510";"boy";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"regressivity";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"recidivism";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"ratio";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"apc";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"relative";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"regard";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"hetero";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"epidemiological";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"dose";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"0perc";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"unit";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"slum";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"sinasc";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"respondent";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"recife";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"prenatal";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"pnad";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"percent";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"opportunity";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"month";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"monitor";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"incompleteness";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"improvement";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"enem";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"cure";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"consultation";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"consistent";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"complete";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"calculate";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"administer";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"6perc";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"2perc";"6.136064e-03"
" 3";" 3";"100.00";" 7.510";"1perc";"6.136064e-03"
" 8";"13";" 61.54";" 7.021";"federal";"8.057731e-03"
" 8";"13";" 61.54";" 7.021";"disability";"8.057731e-03"
" 7";"11";" 63.64";" 6.702";"segregation";"9.628911e-03"
"10";"18";" 55.56";" 6.556";"conduct";"1.045438e-02"
" 4";" 5";" 80.00";" 6.503";"tax";"1.076841e-02"
" 4";" 5";" 80.00";" 6.503";"estimate";"1.076841e-02"
" 4";" 5";" 80.00";" 6.503";"colour";"1.076841e-02"
" 4";" 5";" 80.00";" 6.503";"proportion";"1.076841e-02"
" 6";" 9";" 66.67";" 6.455";"economic";"1.106276e-02"
" 6";" 9";" 66.67";" 6.455";"characteristic";"1.106276e-02"
"12";"23";" 52.17";" 6.453";"access";"1.107817e-02"
" 5";" 7";" 71.43";" 6.338";"socio";"1.181787e-02"
" 5";" 7";" 71.43";" 6.338";"database";"1.181787e-02"
" 5";" 7";" 71.43";" 6.338";"equity";"1.181787e-02"
" 5";" 7";" 71.43";" 6.338";"total";"1.181787e-02"
" 9";"16";" 56.25";" 6.114";"report";"1.341439e-02"
" 7";"12";" 58.33";" 5.272";"classification";"2.167438e-02"
" 6";"10";" 60.00";" 4.886";"census";"2.708233e-02"
" 8";"15";" 53.33";" 4.578";"association";"3.238534e-02"
" 5";" 8";" 62.50";" 4.543";"affect";"3.305545e-02"
" 4";" 6";" 66.67";" 4.285";"descriptive";"3.846044e-02"
" 4";" 6";" 66.67";" 4.285";"obtain";"3.846044e-02"
" 3";" 4";" 75.00";" 4.233";"treatment";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"reduction";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"fear";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"expansion";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"disadvantage";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"visual";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"valid";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"superior";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"resident";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"require";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"neighborhood";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"indirect";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"index";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"inclusion";"3.965038e-02"
" 3";" 4";" 75.00";" 4.233";"finding";"3.965038e-02"
"23";"57";" 40.35";" 4.175";"education";"4.101268e-02"
" 7";"13";" 53.85";" 4.122";"status";"4.233407e-02"
" 6";"11";" 54.55";" 3.673";"family";"5.530235e-02"
" 6";"11";" 54.55";" 3.673";"change";"5.530235e-02"
" 6";"11";" 54.55";" 3.673";"sex";"5.530235e-02"
" 6";"11";" 54.55";" 3.673";"apply";"5.530235e-02"
"17";"41";" 41.46";" 3.512";"population";"6.093323e-02"
