"";"classe 1";"classe 2";"classe 3"
"black";1;0,633;0,968
"race";0,266;1;0
"article";1;0,939;0
"social";1;1;0
"racial";1;0,092;1
"study";1;0,519;1
"gender";1;1;0
"brazil";1;1;0,02
"woman";1;1;0,036
"brazilian";1;0,471;0,007
"analyze";0,185;1;0,015
"research";1;0;1
"aim";1;0,001;1
"present";1;0,945;0,026
"relation";1;1;0
"analysis";1;1;0
"work";1;0;1
"class";1;1;0
"education";0,041;0,34;1
"base";1;0,189;0,932
"understand";1;0,167;0,004
"result";0;1;1
"health";1;0;1
"de";0,118;1;1
"inequality";0;1;1
"white";0;1;1
"school";0;1;1
"discuss";1;0;1
"color";0;1;1
"racism";1;0;1
"public";1;0,285;1
"population";0,061;0,196;1
"policy";1;0,301;0,951
"political";1;0,844;0,016
"relationship";0,32;1;0,124
"practice";1;0,408;0,856
"person";0,002;1;1
"high";0;1;1
"process";1;1;0,041
"group";0,1;1;1
"student";0;1;1
"context";1;1;0,153
"state";1;0,004;1
"debate";1;0;0,963
"data";0;1;1
"point";1;1;0,011
"objective";0,159;1;1
"action";1;0;1
"experience";1;1;0
"relate";1;1;0,041
"field";1;1;0
"concept";1;0,642;0,498
"focus";1;0,041;0,542
"society";1;1;0,014
"order";1;0,003;1
"identity";1;1;0
"cultural";1;1;0
"issue";1;0,001;0,895
"movement";1;0,025;0,498
"discourse";1;1;0
"violence";1;0;1
"theoretical";1;0;1
"historical";1;1;0,002
"year";0;1;1
"show";0,397;1;0,495
"national";0,582;1;0,663
"construction";1;0,642;0,015
"century";1;0,445;0,547
"science";1;1;0,008
"paper";0,188;1;1
"form";1;1;0,004
"production";1;0,019;0,399
"produce";1;1;0,026
"paulo";0,004;1;1
"seek";1;0,142;0,213
"role";1;0,001;1
"propose";1;1;0,026
"main";1;0,202;0,557
"city";0,118;1;0,422
"approach";1;0;1
"african";1;0,007;1
"access";0,011;1;1
"rio";0,001;1;1
"method";0;1;1
"low";0;1;1
"ethnic";1;0,202;1
"difference";0,704;1;0,733
"critical";1;1;0,001
"contribute";1;0,001;1
"university";1;0,717;0,382
"são";0;1;1
"perspective";1;0,202;0,295
"identify";1;0,142;1
"history";1;0,033;1
"discussion";1;0,642;0,119
"category";1;1;0
"theory";1;0;1
"text";1;0,013;0,613
"reflect";1;1;0,002
"knowledge";1;0,606;0,761
"investigate";0,422;1;0,995
"highlight";1;0,419;0,132
"develop";1;0;1
"aspect";1;1;0,015
"worker";1;0,058;1
"time";1;0,123;1
"subject";1;1;0
"representation";1;1;0
"project";1;1;0
"literature";1;0;1
"include";0,628;1;0,898
"idea";1;0,767;0,062
"effect";0,002;1;1
"body";1;1;0
"question";1;0,276;1
"part";1;1;0,003
"author";1;0,373;0,238
"area";0,737;1;0,191
"age";0;1;1
"theme";1;0,235;0,625
"language";1;0,231;0,881
"family";0,055;1;1
"examine";1;0,929;0,11
"dialogue";1;0,001;1
"case";0,003;1;1
"slavery";1;0,002;1
"skin";0;1;1
"marker";1;1;0,238
"man";0,005;1;1
"life";1;1;0,014
"income";0;1;1
"culture";1;1;0,001
"condition";0,133;1;0,238
"aid";0;1;1
"term";0,863;0,767;1
"reflection";1;0,018;0,951
"profile";0,002;1;1
"power";1;1;0,016
"performance";0,234;0,929;1
"observe";0,005;1;1
"level";0;1;1
"law";1;0,107;1
"janeiro";0,003;1;1
"feminism";1;0,004;1
"federal";0,008;0,767;1
"factor";0,001;1;1
"conduct";0,01;1;1
"conclude";1;0,436;0,558
"system";0,538;0,274;1
"scientific";1;0,107;0,703
"reveal";1;1;0,238
"promote";1;0,436;0,267
"narrative";1;1;0
"live";0;1;1
"interview";1;0,436;1
"individual";0;1;1
"impact";0,325;1;1
"economic";0,011;1;1
"due";1;0,436;0,951
"discrimination";0,089;0,274;1
"disability";0,008;1;0,899
"young";0;1;1
"struggle";1;0,376;0,197
"strategy";0,429;0,376;1
"professional";1;0,001;1
"period";1;1;0,633
"intellectual";1;1;0,129
"great";0,118;1;0,793
"feminist";1;0,003;1
"establish";1;1;0,015
"end";1;0,532;1
"classification";0,022;1;1
"academic";1;0;1
"survey";0;1;1
"structure";1;0,436;0,951
"report";0,013;0,436;1
"labor";0,568;1;0,547
"formation";1;1;0
"find";0;1;1
"explore";1;0,042;1
"child";0,179;0,862;1
"care";1;0,221;1
"world";1;0,516;1
"trajectory";1;1;0,062
"suggest";0,863;1;0,899
"set";1;0,001;1
"segregation";0,01;1;1
"physical";0,099;1;0,723
"newspaper";1;0,516;0,582
"importance";1;0,018;1
"hand";0,234;0,929;1
"female";0,001;1;1
"eugenics";1;1;0,007
"element";1;1;0,002
"demonstrate";1;1;0,014
"contribution";1;0,003;1
"association";0,032;1;1
"afro";1;0,042;1
"address";1;0,008;1
"view";1;1;0
"source";1;0,002;1
"socioeconomic";0;1;1
"rural";1;0,532;1
"review";1;0,001;1
"information";0;1;1
"increase";0;1;1
"image";1;1;0
"hiv";0;1;1
"effort";1;0,008;1
"central";1;1;0,002
"analyse";0,099;1;0,723
"american";1;0,001;1
"variable";0,003;1;1
"teach";1;0,018;1
"specific";1;0,376;0,197
"space";1;0,603;0,338
"region";0,213;0,161;1
"qualitative";0,314;0,603;1
"post";1;1;0,023
"portuguese";0,577;1;0,966
"notion";1;0,088;1
"model";0,074;1;0,3
"male";0;1;1
"interpretation";1;1;0,004
"intend";1;1;0,063
"influence";0,132;1;1
"important";0,923;1;0,382
"country";1;0,039;0,899
"conclusion";0;1;1
"compare";0;1;1
"colonial";1;1;0,056
"carry";0,213;0,901;1
"call";1;1;0,338
"bring";1;0;1
"activity";0,716;1;0,118
"urban";0,403;1;0,261
"teacher";1;0;1
"status";0,042;1;0,899
"racist";1;1;0,002
"publish";1;1;0,261
"perception";0,568;1;0,547
"meaning";1;1;0,028
"link";1;0,603;1
"intersectionality";1;0,302;0,382
"hierarchy";1;0,183;1
"educational";0,863;0,141;1
"dimension";0,423;1;0,125
"construct";1;0,426;0,5
"change";0,055;1;1
"brown";0,001;1;1
"addition";1;0,001;1
"95percci";0;1;1
"structural";1;0,717;0,831
"service";0,423;1;1
"racialized";1;1;0
"position";1;1;0,129
"past";1;1;0,004
"methodology";1;0,001;1
"material";1;1;0,218
"market";0,754;1;0,061
"mark";1;0,644;0,261
"intersection";1;1;0,004
"framework";1;0,001;1
"describe";1;1;0,125
"decolonial";1;0,016;1
"deal";1;1;0,218
"contemporary";1;0,161;1
"conception";1;0,183;1
"common";0,213;0,445;1
"center";1;0,081;0,723
"census";0,027;1;1
"book";1;1;0,004
"argue";1;0,018;1
"affirmative";1;0,001;1
"adolescent";0;1;1
"train";1;0;1
"speech";1;1;0,282
"sexuality";1;1;0
"sex";0,055;1;0,547
"sense";1;0,001;1
"risk";0;1;1
"reference";1;0,016;1
"play";1;0,207;1
"place";1;1;0,5
"organization";1;0,183;0,631
"object";1;1;0,061
"mobilize";1;1;0,024
"methodological";1;0;1
"medical";1;0,516;1
"human";1;1;0,218
"development";0,798;0,097;1
