"";"V1"
"1";3
"2";0
"3";3
"4";3
"5";0
"6";0
"7";0
"8";2
"9";2
"10";2
"11";2
"12";2
"13";3
"14";2
"15";2
"16";0
"17";2
"18";2
"19";3
"20";3
"21";2
"22";2
"23";3
"24";3
"25";3
"26";0
"27";2
"28";2
"29";1
"30";3
"31";2
"32";2
"33";2
"34";2
"35";2
"36";2
"37";2
"38";2
"39";3
"40";2
"41";3
"42";3
"43";3
"44";2
"45";1
"46";2
"47";0
"48";2
"49";3
"50";3
"51";3
"52";3
"53";3
"54";2
"55";2
"56";0
"57";2
"58";2
"59";3
"60";2
"61";2
"62";2
"63";1
"64";1
"65";1
"66";1
"67";1
"68";1
"69";3
"70";3
"71";3
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";3
"79";3
"80";1
"81";1
"82";3
"83";3
"84";2
"85";2
"86";0
"87";3
"88";2
"89";2
"90";2
"91";0
"92";2
"93";0
"94";2
"95";0
"96";0
"97";3
"98";3
"99";3
"100";3
"101";0
"102";0
"103";0
"104";3
"105";0
"106";3
"107";2
"108";0
"109";3
"110";3
"111";3
"112";2
"113";3
"114";3
"115";3
"116";3
"117";2
"118";2
"119";3
"120";0
"121";0
"122";3
"123";3
"124";3
"125";3
"126";3
"127";3
"128";3
"129";0
"130";3
"131";3
"132";3
"133";2
"134";2
"135";2
"136";2
"137";0
"138";2
"139";2
"140";2
"141";2
"142";2
"143";2
"144";2
"145";2
"146";2
"147";3
"148";2
"149";3
"150";0
"151";3
"152";0
"153";3
"154";2
"155";0
"156";0
"157";2
"158";0
"159";3
"160";3
"161";1
"162";1
"163";0
"164";1
"165";1
"166";3
"167";1
"168";1
"169";0
"170";0
"171";3
"172";1
"173";1
"174";1
"175";3
"176";3
"177";3
"178";0
"179";0
"180";0
"181";3
"182";3
"183";0
"184";3
"185";2
"186";2
"187";2
"188";3
"189";0
"190";0
"191";2
"192";3
"193";1
"194";1
"195";1
"196";1
"197";1
"198";1
"199";1
"200";1
"201";3
"202";0
"203";1
"204";3
"205";3
"206";0
"207";2
"208";3
"209";1
"210";2
"211";0
"212";2
"213";0
"214";3
"215";3
"216";2
"217";3
"218";0
"219";0
"220";3
"221";0
"222";0
"223";3
"224";0
"225";3
"226";3
"227";3
"228";3
"229";3
"230";0
"231";2
"232";2
"233";2
"234";2
"235";2
"236";2
"237";2
"238";0
"239";3
"240";3
"241";2
"242";2
"243";1
"244";3
"245";2
"246";0
"247";0
"248";2
"249";2
"250";2
"251";2
"252";2
"253";2
"254";1
"255";1
"256";1
"257";1
"258";1
"259";1
"260";1
"261";1
"262";3
"263";1
"264";2
"265";0
"266";2
"267";0
"268";0
"269";2
"270";1
"271";3
"272";3
"273";0
"274";2
"275";0
"276";0
"277";2
"278";2
"279";0
"280";2
"281";3
"282";1
"283";1
"284";2
"285";0
"286";0
"287";0
"288";2
"289";2
"290";1
"291";1
"292";1
"293";1
"294";3
"295";3
"296";3
"297";0
"298";3
"299";0
"300";0
"301";2
"302";1
"303";1
"304";1
"305";0
"306";2
"307";3
"308";2
"309";0
"310";2
"311";1
"312";2
"313";2
"314";2
"315";0
"316";3
"317";1
"318";1
"319";1
"320";1
"321";1
"322";2
"323";2
"324";3
"325";0
"326";2
"327";2
"328";0
"329";2
"330";0
"331";0
"332";0
"333";0
"334";1
"335";1
"336";1
"337";1
"338";1
"339";3
"340";3
"341";2
"342";3
"343";3
"344";3
"345";3
"346";0
"347";2
"348";0
"349";0
"350";1
"351";2
"352";1
"353";2
"354";2
"355";0
"356";2
"357";2
"358";3
"359";2
"360";2
"361";2
"362";2
"363";2
"364";2
"365";0
"366";2
"367";0
"368";3
"369";3
"370";3
"371";3
"372";0
"373";0
"374";2
"375";0
"376";2
"377";0
"378";0
"379";3
"380";0
"381";3
"382";3
"383";2
"384";3
"385";1
"386";3
"387";1
"388";3
"389";3
"390";3
"391";3
"392";3
"393";3
"394";1
"395";1
"396";1
"397";1
"398";1
"399";0
"400";3
"401";3
"402";1
"403";1
"404";1
"405";2
"406";3
"407";0
"408";1
"409";2
"410";2
"411";0
"412";3
"413";3
"414";2
"415";0
"416";2
"417";2
"418";2
"419";3
"420";3
"421";0
"422";0
"423";1
"424";1
"425";3
"426";1
"427";1
"428";1
"429";1
"430";0
"431";0
"432";0
"433";0
"434";0
"435";0
"436";0
"437";0
"438";0
"439";0
"440";0
"441";2
"442";3
"443";0
"444";0
"445";2
"446";0
"447";3
"448";2
"449";2
"450";0
"451";0
"452";3
"453";2
"454";2
"455";0
"456";0
"457";3
"458";2
"459";2
"460";0
"461";3
"462";0
"463";3
"464";3
"465";1
"466";2
"467";2
"468";2
"469";0
"470";3
"471";2
"472";2
"473";2
"474";2
"475";0
"476";2
"477";2
"478";2
"479";3
"480";3
"481";3
"482";3
"483";2
"484";2
"485";3
"486";2
"487";0
"488";3
"489";3
"490";3
"491";0
"492";1
"493";2
"494";1
"495";1
"496";1
"497";1
"498";1
"499";3
"500";0
"501";3
"502";2
"503";3
"504";3
"505";2
"506";3
"507";0
"508";3
"509";0
"510";3
"511";3
"512";2
"513";2
"514";3
"515";2
"516";2
"517";1
"518";3
"519";3
"520";0
"521";3
"522";2
"523";1
"524";1
"525";1
"526";1
"527";1
"528";0
"529";0
"530";3
"531";3
"532";1
"533";2
"534";2
"535";2
"536";1
"537";2
"538";1
"539";0
"540";2
"541";2
"542";3
"543";2
"544";1
"545";1
"546";1
"547";1
"548";2
"549";2
"550";3
"551";3
"552";2
"553";1
"554";2
"555";0
"556";0
"557";1
"558";1
"559";1
"560";1
"561";1
"562";3
"563";3
"564";3
"565";3
"566";2
"567";3
"568";2
"569";2
"570";3
"571";3
"572";3
"573";2
"574";3
"575";3
"576";3
"577";3
"578";3
"579";3
"580";3
"581";0
"582";3
"583";3
"584";1
"585";0
"586";0
"587";0
"588";0
"589";3
"590";0
"591";3
"592";2
"593";2
"594";3
"595";2
"596";1
"597";3
"598";1
"599";1
"600";1
"601";1
"602";1
"603";1
"604";0
"605";0
"606";0
"607";0
"608";0
"609";3
"610";3
"611";2
"612";3
"613";3
"614";3
"615";2
"616";3
"617";0
"618";0
"619";2
"620";0
"621";3
"622";0
"623";0
"624";1
"625";2
"626";1
"627";1
"628";1
"629";1
"630";2
"631";3
"632";3
"633";0
"634";3
"635";0
"636";0
"637";2
"638";3
"639";3
"640";3
"641";1
"642";1
"643";3
"644";0
"645";1
"646";1
"647";3
"648";3
"649";3
"650";3
"651";1
"652";1
"653";1
"654";1
"655";1
"656";1
"657";1
"658";1
"659";1
"660";1
"661";2
"662";1
"663";1
"664";2
"665";0
"666";0
"667";2
"668";2
"669";2
"670";3
"671";2
"672";3
"673";0
"674";2
"675";0
"676";0
"677";0
"678";3
"679";3
"680";0
"681";0
"682";3
"683";0
"684";3
"685";3
"686";3
"687";2
"688";3
"689";2
"690";2
"691";2
"692";3
"693";2
"694";3
"695";0
"696";0
"697";2
"698";2
"699";3
"700";3
"701";1
"702";1
"703";1
"704";2
"705";0
"706";0
"707";2
"708";0
"709";0
"710";3
"711";3
"712";2
"713";0
"714";3
"715";2
"716";1
"717";2
"718";1
"719";3
"720";2
"721";3
"722";2
"723";3
"724";0
"725";0
"726";0
"727";1
"728";1
"729";1
"730";0
"731";1
"732";0
"733";1
"734";2
"735";0
"736";2
"737";3
"738";0
"739";0
"740";2
"741";1
"742";1
"743";1
"744";1
"745";1
"746";1
"747";1
"748";1
"749";1
"750";0
"751";2
"752";1
"753";0
"754";3
"755";2
"756";0
"757";3
"758";2
"759";3
"760";0
"761";3
"762";0
"763";2
"764";1
"765";1
"766";2
"767";1
"768";1
"769";1
"770";2
"771";0
"772";0
"773";0
"774";1
"775";1
"776";1
"777";1
"778";0
"779";3
"780";1
"781";0
"782";0
"783";1
"784";2
"785";1
"786";2
"787";3
"788";1
"789";1
"790";1
"791";3
"792";0
"793";3
"794";2
"795";0
"796";0
"797";1
"798";2
"799";2
"800";3
"801";2
"802";2
"803";1
"804";2
"805";3
"806";2
"807";2
"808";0
"809";2
"810";2
"811";0
"812";1
"813";1
"814";0
"815";2
"816";1
"817";1
"818";1
"819";1
"820";1
"821";1
"822";1
"823";1
"824";3
"825";3
"826";1
"827";1
"828";1
"829";1
"830";1
"831";1
"832";1
"833";1
"834";1
"835";1
"836";3
"837";3
"838";1
"839";0
"840";2
"841";2
"842";2
"843";2
"844";2
"845";3
"846";2
"847";2
"848";3
"849";3
"850";3
"851";2
"852";3
"853";3
"854";1
"855";3
"856";3
"857";2
"858";3
"859";3
"860";3
"861";2
"862";1
"863";1
"864";1
"865";3
"866";3
"867";3
"868";3
"869";2
"870";3
"871";2
"872";1
"873";0
"874";0
"875";3
"876";3
"877";0
"878";2
"879";0
"880";0
"881";3
"882";3
"883";3
