variable	occurences	formes	hapax	segments	hapax/formes
*1999	255	141	10	8	0.07092198581560284
*2005	174	114	23	5	0.20175438596491227
*2006	672	323	61	20	0.18885448916408668
*2007	493	245	34	13	0.13877551020408163
*2008	246	135	17	7	0.1259259259259259
*2009	285	157	15	8	0.09554140127388536
*2010	1267	526	81	34	0.15399239543726237
*2011	207	115	4	6	0.034782608695652174
*2012	842	371	58	23	0.15633423180592992
*2013	1076	475	83	30	0.17473684210526316
*2014	814	382	72	23	0.18848167539267016
*2015	486	255	35	13	0.13725490196078433
*2016	700	346	58	17	0.1676300578034682
*2017	1387	633	136	40	0.21484992101105846
*2018	1851	767	177	56	0.23076923076923078
*2019	2522	965	239	72	0.24766839378238342
*2020	3260	1121	239	91	0.21320249776984834
*2021	3323	1132	251	95	0.22173144876325088
*2022	3245	1158	265	91	0.22884283246977546
*2023	3202	1210	335	91	0.2768595041322314
*2024	4883	1546	404	140	0.2613195342820181
*abrahão_b	222	120	19	5	0.15833333333333333
*abreu_m	189	132	27	6	0.20454545454545456
*afonso_m	114	77	7	3	0.09090909090909091
*aguião_s	110	68	8	3	0.11764705882352941
*albuquerque_w	171	110	19	6	0.17272727272727273
*alexandrino_a	152	89	14	4	0.15730337078651685
*almeida_p	75	47	7	2	0.14893617021276595
*alves-brito_a	205	124	9	5	0.07258064516129033
*alves_f	150	101	11	4	0.10891089108910891
*alves_m	196	113	13	6	0.11504424778761062
*alves_n	409	211	39	11	0.1848341232227488
*andrade_a	166	94	12	5	0.1276595744680851
*anjos_j	163	100	9	5	0.09
*antunes_m	152	89	14	4	0.15730337078651685
*arañó_y	125	81	12	4	0.14814814814814814
*araújo_a	125	83	9	4	0.10843373493975904
*araújo_m	152	89	14	4	0.15730337078651685
*araújo_r	150	101	6	4	0.0594059405940594
*assis_g	198	117	15	6	0.1282051282051282
*avritzer_l	189	108	12	5	0.1111111111111111
*backes_j	145	94	11	4	0.11702127659574468
*bairros_f	196	113	13	6	0.11504424778761062
*balaban_m	111	79	12	3	0.1518987341772152
*barata_r	152	89	14	4	0.15730337078651685
*barbosa-fohrmann_a	85	57	7	2	0.12280701754385964
*barbosa_c	147	97	25	5	0.25773195876288657
*barbosa_i	152	89	14	4	0.15730337078651685
*barbosa_j	152	89	14	4	0.15730337078651685
*barbosa_m	197	107	12	5	0.11214953271028037
*barone_a	188	116	15	5	0.12931034482758622
*barros_a	106	70	12	3	0.17142857142857143
*barros_m	188	126	24	6	0.19047619047619047
*barros_s	253	156	21	7	0.1346153846153846
*bastos_j	464	237	38	12	0.16033755274261605
*batista_l	253	156	21	7	0.1346153846153846
*bazani_a	134	82	6	3	0.07317073170731707
*bazon_m	144	102	15	4	0.14705882352941177
*bernardes_m	208	126	14	6	0.1111111111111111
*bezerra_h	152	89	14	4	0.15730337078651685
*bezerra_r	152	89	14	4	0.15730337078651685
*boing_a	315	163	23	9	0.1411042944785276
*bonilla-medina_s	168	104	14	5	0.1346153846153846
*bonomo_m	263	145	22	8	0.15172413793103448
*borges_m	152	89	14	4	0.15730337078651685
*borgongino_b	102	70	19	3	0.2714285714285714
*boscatti_a	125	81	12	4	0.14814814814814814
*braga_l	122	70	2	3	0.02857142857142857
*bragaia_f	90	73	13	2	0.1780821917808219
*bueno_j	105	64	4	3	0.0625
*cabrera_o	143	88	8	4	0.09090909090909091
*caetano_k	152	89	14	4	0.15730337078651685
*calil_m	153	86	8	4	0.09302325581395349
*calvo-gonzalez_e	103	68	8	3	0.11764705882352941
*calvo-gonzález_e	159	93	5	4	0.053763440860215055
*campos_l	411	227	27	12	0.11894273127753303
*candido_l	197	121	17	5	0.14049586776859505
*candido_m	165	116	7	5	0.0603448275862069
*canelas_l	122	78	13	3	0.16666666666666666
*carlos_j	110	68	6	3	0.08823529411764706
*carvalhaes_f	92	59	10	3	0.1694915254237288
*castro_f	80	60	8	2	0.13333333333333333
*colombini_i	172	97	21	5	0.21649484536082475
*conceição_í	130	78	12	4	0.15384615384615385
*conte_g_p	145	94	9	4	0.09574468085106383
*cordeiro_r	130	80	8	4	0.1
*costa_b	279	167	28	7	0.16766467065868262
*costa_t	318	159	17	8	0.1069182389937107
*couto_m	134	91	12	4	0.13186813186813187
*covre-sussai_m	175	97	9	5	0.09278350515463918
*cristiellen_r_r_m	170	110	12	4	0.10909090909090909
*cruvinel_t	121	77	11	3	0.14285714285714285
*cunha_r	122	76	6	4	0.07894736842105263
*da_costa_a	77	50	3	2	0.06
*da_costa_l	94	66	15	3	0.22727272727272727
*da_costa_m	258	147	18	7	0.12244897959183673
*da_cruz_d	122	76	6	4	0.07894736842105263
*da_gama_s	152	89	14	4	0.15730337078651685
*da_luz_c	132	85	11	4	0.12941176470588237
*da_rocha_e	171	98	11	4	0.11224489795918367
*da_rosa_c	125	94	14	4	0.14893617021276595
*da_s_b_r	119	88	14	3	0.1590909090909091
*da_s_s	152	94	27	4	0.2872340425531915
*da_silva_a	477	254	43	14	0.16929133858267717
*da_silva_c	125	94	14	4	0.14893617021276595
*da_silva_i	193	128	21	5	0.1640625
*da_silva_j	95	68	10	3	0.14705882352941177
*da_silva_m	242	151	26	6	0.17218543046357615
*da_silva_n	146	87	15	4	0.1724137931034483
*da_silva_s	263	145	22	8	0.15172413793103448
*da_silva_v	132	90	11	4	0.12222222222222222
*dachs_j	172	99	12	5	0.12121212121212122
*damasco_m	102	61	5	3	0.08196721311475409
*de_a_f	253	156	21	7	0.1346153846153846
*de_almeida_a	111	74	6	3	0.08108108108108109
*de_andrade_c	172	99	12	5	0.12121212121212122
*de_andrade_i	142	100	31	4	0.31
*de_andrade_m	226	135	19	7	0.14074074074074075
*de_araújo_e	288	151	16	8	0.10596026490066225
*de_araújo_pinho_o	116	83	11	3	0.13253012048192772
*de_araújo_t	152	93	6	4	0.06451612903225806
*de_araújo_w	152	89	14	4	0.15730337078651685
*de_assis_m	102	74	11	3	0.14864864864864866
*de_azevedo_barros_m	174	100	13	5	0.13
*de_azevedo_r	152	89	14	4	0.15730337078651685
*de_azevedo_weimer_r	135	88	11	3	0.125
*de_camilla_de_magalhães_gomes_t	130	78	12	4	0.15384615384615385
*de_carvalho_batista_j	132	76	14	4	0.18421052631578946
*de_carvalho_figueiredo_d	99	68	8	3	0.11764705882352941
*de_carvalho_m	255	141	10	8	0.07092198581560284
*de_castro_d	111	74	6	3	0.08108108108108109
*de_castro_pinto_e	226	135	19	7	0.14074074074074075
*de_emílio_circunde_vieira_andrade_d	263	157	23	7	0.1464968152866242
*de_freitas_s	197	121	17	5	0.14049586776859505
*de_jesus_g	106	70	12	3	0.17142857142857143
*de_lima_brandão_l	279	167	28	7	0.16766467065868262
*de_lima_c	230	130	16	6	0.12307692307692308
*de_m_g	119	88	14	3	0.1590909090909091
*de_medeiros_n	152	89	14	4	0.15730337078651685
*de_melo_a	89	64	9	3	0.140625
*de_melo_g	148	100	21	5	0.21
*de_melo_m	174	100	13	5	0.13
*de_miranda_s	149	94	4	4	0.0425531914893617
*de_moraes_c	197	107	12	5	0.11214953271028037
*de_moraes_j	152	89	14	4	0.15730337078651685
*de_novaes_marques_t	131	83	15	4	0.18072289156626506
