"";"*1999";"*2005";"*2006";"*2007";"*2008";"*2009";"*2010";"*2011";"*2012";"*2013";"*2014";"*2015";"*2016";"*2017";"*2018";"*2019";"*2020";"*2021";"*2022";"*2023";"*2024";"*abrahão_b";"*abreu_m";"*afonso_m";"*aguião_s";"*albuquerque_w";"*alexandrino_a";"*almeida_p";"*alves-brito_a";"*alves_f";"*alves_m";"*alves_n";"*andrade_a";"*anjos_j";"*antunes_m";"*arañó_y";"*araújo_a";"*araújo_m";"*araújo_r";"*assis_g";"*avritzer_l";"*backes_j";"*bairros_f";"*balaban_m";"*barata_r";"*barbosa-fohrmann_a";"*barbosa_c";"*barbosa_i";"*barbosa_j";"*barbosa_m";"*barone_a";"*barros_a";"*barros_m";"*barros_s";"*bastos_j";"*batista_l";"*bazani_a";"*bazon_m";"*bernardes_m";"*bezerra_h";"*bezerra_r";"*boing_a";"*bonilla-medina_s";"*bonomo_m";"*borges_m";"*borgongino_b";"*boscatti_a";"*braga_l";"*bragaia_f";"*bueno_j";"*cabrera_o";"*caetano_k";"*calil_m";"*calvo-gonzalez_e";"*calvo-gonzález_e";"*campos_l";"*candido_l";"*candido_m";"*canelas_l";"*carlos_j";"*carvalhaes_f";"*castro_f";"*colombini_i";"*conceição_í";"*conte_g_p";"*cordeiro_r";"*costa_b";"*costa_t";"*couto_m";"*covre-sussai_m";"*cristiellen_r_r_m";"*cruvinel_t";"*cunha_r";"*da_costa_a";"*da_costa_l";"*da_costa_m";"*da_cruz_d";"*da_gama_s";"*da_luz_c";"*da_rocha_e";"*da_rosa_c";"*da_s_b_r";"*da_s_s";"*da_silva_a";"*da_silva_c";"*da_silva_i";"*da_silva_j";"*da_silva_m";"*da_silva_n";"*da_silva_s";"*da_silva_v";"*dachs_j";"*damasco_m";"*de_a_f";"*de_almeida_a";"*de_andrade_c";"*de_andrade_i";"*de_andrade_m";"*de_araújo_e";"*de_araújo_pinho_o";"*de_araújo_t";"*de_araújo_w";"*de_assis_m";"*de_azevedo_barros_m";"*de_azevedo_r";"*de_azevedo_weimer_r";"*de_camilla_de_magalhães_gomes_t";"*de_carvalho_batista_j";"*de_carvalho_figueiredo_d";"*de_carvalho_m";"*de_castro_d";"*de_castro_pinto_e";"*de_emílio_circunde_vieira_andrade_d";"*de_freitas_s";"*de_jesus_g";"*de_lima_brandão_l";"*de_lima_c";"*de_m_g";"*de_medeiros_n";"*de_melo_a";"*de_melo_g";"*de_melo_m";"*de_miranda_s";"*de_moraes_c";"*de_moraes_j";"*de_novaes_marques_t";"*de_oliveira_a";"*de_oliveira_araújo_r";"*de_oliveira_c";"*de_oliveira_d";"*de_oliveira_f";"*de_oliveira_l";"*de_oliveira_r";"*de_oliveira_s";"*de_oliveira_v";"*de_sousa_r";"*de_souza_a";"*de_souza_f";"*de_souza_r";"*de_souza_v";"*diallo_c";"*dias_a";"*dias_l";"*do_bonfim_m";"*domingues_c";"*domingues_p";"*donalisio_m";"*dos_anjos_j";"*dos_santos_araújo_l";"*dos_santos_e";"*dos_santos_gutterres_a";"*dos_santos_m";"*dos_santos_n";"*dos_santos_p";"*ducatti_i";"*durante_m";"*dziuba_a";"*déus_f";"*eiterer_c";"*ernica_m";"*espinoza_f";"*faustino_d";"*feitosa_a_l";"*fernandes_c";"*fernandes_f";"*ferraro_a";"*ferreira_c";"*ferreira_j";"*ferreira_l";"*ferreira_m";"*fialho_c";"*filho_v";"*finardi_k";"*finkler_m";"*flaherty-echeverría_s";"*fogaça_g";"*francisco_p";"*franco_c";"*frança_a";"*frança_d";"*frança_i";"*freitas_m";"*galak_e";"*galinari_l";"*galvão_a";"*gantus-oliveira_t";"*garcia_s";"*gato_m";"*georgini_g";"*germani_a";"*giacomini_s";"*gomes_d";"*gomes_f";"*gomes_l";"*gomes_n";"*gonçalves_s";"*gouvêa_m";"*guibu_i";"*guimaraes_a";"*guimarães_a";"*guizzo_b";"*gurgel_r";"*harris_a";"*hayashi_b";"*hibarino_d";"*higa_l";"*hirata_h";"*hogan_v";"*hora_g_j";"*júnior_j";"*kabad_j";"*kubota_r";"*kyrillos_g";"*la-rotta_e";"*laguardia_j";"*lapera_p";"*leal_t";"*leite_i";"*lemos_a";"*lima_a";"*lima_f";"*lima_j";"*lima_l";"*lima_m";"*lima_n";"*lima_t";"*lins_i";"*lombardi_m";"*lopes_j";"*lopes_p";"*luhm_k";"*luiz_o";"*lópez_l";"*macedo_m";"*machado_i";"*maciel_e";"*magalhães_m";"*maia_g";"*maia_s";"*maio_m";"*makoni_s";"*malfrán_y";"*mallmann_m";"*mariz_s";"*markman_d";"*marques_d";"*martins_m";"*martins_r";"*massarani_l";"*matos_c";"*medeiros_a";"*menegotto_j";"*mengue_s";"*mesquita_f";"*minella_l";"*miranda_a";"*mizrahi_m";"*montanari_p";"*monteiro_r";"*monteiro_s";"*moreira_s";"*mota_a";"*moura_j";"*mourão_l";"*moutinho_l";"*munareto_g";"*muraro_a";"*muñoz-cabrera_p";"*nardi_h";"*nascimento_d";"*nascimento_g";"*nascimento_v";"*navarro_p";"*negro_a";"*nogueira_m";"*noleto_r";"*oliveira_a";"*oliveira_d";"*oliveira_e";"*oliveira_l";"*oliveira_s";"*oraka_c";"*ortigão_i";"*osorio_r";"*paixão_m";"*panta_m";"*pantoja_g";"*partichelli_p";"*passador_l";"*passos_r";"*paulla_m";"*pedreira_c";"*pedroso_g";"*pena_s";"*pereira_b";"*pereira_l";"*pereira_p";"*pereira_r";"*peres_r";"*perussatto_m";"*petschelies_e";"*picanço_f";"*pierobon_c";"*pimentel_m";"*pinheiro_a";"*pinto_c";"*pizzinato_a";"*policarpo_v";"*popinigis_f";"*portela_p";"*prado_m";"*prado_t";"*precioso_d";"*proni_m";"*queiroz_r";"*quezado_c_l_m";"*raminelli_r";"*ramos_a";"*ramos_i";"*ramos_p";"*rangel_p";"*ratusniak_c";"*rezende_c";"*ribeiro_a";"*ribeiro_c";"*ribeiro_f";"*roble_o";"*rocha_v";"*rodrigues_a";"*rodrigues_e";"*rodrigues_g";"*rosa_k";"*rosa_r";"*rosemberg_f";"*salata_a";"*sales_c";"*santana_b";"*santana_e_s_c";"*santos_d";"*santos_e";"*santos_j";"*santos_l";"*santos_r";"*santos_s_k";"*saraiva_m";"*schemes_c";"*schneider_a";"*schrann_m";"*segnini_l";"*senkevics_a";"*sento-sé_i";"*severo_c";"*silva_d";"*silva_m";"*silva_n";"*silveira_l";"*silveira_r";"*silveira_t";"*simões_j";"*simões_t";"*siqueira_j";"*siqueira_n";"*siqueira_s";"*soares_a";"*soares_j";"*souza_t";"*souza_v";"*spengler_f";"*stelzer_j";"*taquette_s";"*tarelow_g";"*tavares_j";"*tavolaro_l";"*teixeira_j";"*teixeira_m";"*teles_s";"*teodoro_m";"*terra_b";"*terra_p";"*thomaz_o";"*tittoni_j";"*tomas_m";"*tomasi_y";"*trapp_r";"*trindade_a";"*uessler_l";"*vasconcelos_f";"*vasquez_v";"*viana_i";"*vieira_a";"*vieira_j";"*vieira_m";"*vilela_e";"*vinuto_j";"*vitorino_a";"*votre_s";"*waltz_i";"*xavier_a";"*xavier_g";"*xavier_n";"*zubaran_m";"*zullo_g"
"as";0;3;2;0;0;0;8;0;7;2;5;7;1;4;0;8;36;8;1;6;39;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;5;0;0;0;4;0;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;2;5;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;3;0;3;0;0;0;0;0;0;0;1;3;0;0;0;6;0;0;0;0;0;2;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4;0;1;1;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;2;0;0;0;0;1;0;1;4;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1
"from";0;1;2;0;1;2;4;0;3;0;4;2;1;4;0;5;17;6;0;5;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0
"the";0;8;33;0;1;14;55;0;55;11;45;53;7;61;0;63;282;110;25;95;325;0;0;0;0;19;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;11;0;5;0;0;0;0;0;1;10;0;0;14;0;0;22;0;0;8;0;0;0;0;0;12;4;13;12;0;0;0;0;0;0;0;0;0;4;3;0;0;5;0;0;12;7;0;0;11;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;0;13;0;10;0;0;0;0;0;0;8;10;22;0;0;0;16;0;0;30;7;0;0;0;5;0;0;5;16;0;0;0;0;0;8;0;34;6;0;0;14;0;0;0;0;0;4;0;32;0;0;0;0;0;0;0;13;3;0;0;0;0;0;0;0;14;0;0;0;8;7;28;0;0;0;7;0;0;0;0;8;0;10;0;0;0;0;0;0;0;0;0;9;0;0;17;16;9;19;8;0;0;7;0;0;0;18;10;0;11;0;0;0;0;0;0;0;11;9;0;0;0;30;0;0;0;0;0;15;12;14;0;0;0;0;30;5;0;0;0;0;0;12;18;0;0;6;0;0;9;8;0;0;0;0;0;0;18;0;0;0;0;0;12;12;0;0;30;13;0;0;0;0;0;0;0;0;0;13;0;0;0;0;13;0;0;0;0;0;0;0;5;0;0;0;0;0;18;0;7;8;10;15;0;0;16;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;7;0;12;0;10;0;0;0;0;17;16;0;0;0;17;20;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;27;0;0;5;13;0;0;0;0;0;0;0;0;14;0;8;0;0;17;0;9;0;0;0;8;0;0;0;0;11;0;13;11;0;0;0;0;0;0;11;0;30;9;0;0;0;9;0;0;0;0;0;10
"of";0;11;17;0;0;6;37;0;29;5;28;29;6;48;0;38;180;54;6;75;227;0;0;0;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;6;6;0;0;10;0;0;8;0;0;4;0;0;0;0;0;10;3;4;9;0;0;0;0;0;0;0;0;0;1;3;0;0;8;0;0;9;3;0;0;7;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;9;0;10;0;0;0;0;0;0;12;6;20;0;0;0;3;0;0;18;3;0;0;0;4;0;0;4;8;0;0;0;0;0;3;0;17;8;0;0;14;0;0;0;0;0;6;0;19;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;7;0;0;0;6;8;23;0;0;0;7;0;0;0;0;9;0;8;0;0;0;0;0;0;0;0;0;14;0;0;4;16;7;14;5;0;0;6;0;0;0;7;5;0;7;0;0;0;0;0;0;0;7;10;0;0;0;33;0;0;0;0;0;10;9;3;0;0;0;0;14;6;0;0;0;0;0;5;16;0;0;3;0;0;6;5;0;0;0;0;0;0;5;0;0;0;0;0;7;7;0;0;22;7;0;0;0;0;0;0;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;6;7;5;8;0;0;13;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;5;0;0;0;0;10;7;0;0;0;8;15;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;16;0;0;6;9;0;0;0;0;0;0;0;0;12;0;9;0;0;7;0;9;0;0;0;4;0;0;0;0;7;0;5;5;0;0;0;0;0;0;8;0;18;9;0;0;0;5;0;0;0;0;0;8
"about";0;0;1;0;0;1;0;0;1;0;3;1;0;4;0;0;5;1;1;6;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"self";0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"it";0;2;1;0;0;2;2;0;5;1;5;2;0;5;0;2;22;7;0;5;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"was";0;0;0;0;0;0;4;0;2;1;4;0;1;4;0;1;8;4;2;3;11;0;0;0;0;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;2;0;0;4;3;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"make";0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;10;1;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"an";0;1;1;0;0;0;6;0;2;0;3;3;0;0;0;1;9;6;0;4;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
