black;40;54;55
race;60;29;100
article;18;45;66
social;20;27;60
racial;24;45;39
study;29;41;40
gender;27;9;75
brazil;23;24;43
woman;20;25;40
brazilian;10;32;42
analyze;27;12;38
research;16;39;15
aim;11;36;21
present;9;21;30
relation;7;15;37
analysis;12;13;38
work;5;36;22
class;13;6;43
education;23;23;11
base;12;25;22
understand;0;21;27
result;38;8;10
health;11;29;4
de;7;5;3
inequality;27;10;13
white;25;4;14
school;36;5;7
discuss;5;33;12
color;34;7;8
racism;3;30;16
public;13;20;15
population;17;18;6
policy;9;18;16
political;3;13;20
relationship;11;4;15
practice;7;14;13
person;19;10;8
high;30;6;4
process;5;12;19
group;15;10;12
student;27;3;4
context;7;10;16
state;5;20;10
debate;0;22;13
data;23;7;8
point;9;5;19
objective;12;8;10
action;3;20;8
experience;3;5;18
relate;8;9;19
field;2;8;24
concept;4;9;10
focus;2;16;13
society;3;7;15
order;4;17;7
identity;3;1;21
cultural;1;1;22
issue;0;18;11
movement;0;13;10
discourse;1;3;21
violence;2;16;3
theoretical;0;21;11
historical;2;8;18
year;16;5;5
show;10;6;12
national;9;7;11
construction;0;9;14
century;1;5;5
science;3;6;15
paper;8;5;6
form;2;5;14
production;0;15;12
produce;2;8;14
paulo;6;1;1
seek;0;10;10
role;3;15;4
propose;3;7;14
main;2;10;9
city;7;1;7
approach;3;21;3
african;0;8;3
access;12;6;5
rio;6;0;1
method;16;5;2
low;22;0;1
ethnic;6;10;5
difference;8;7;10
critical;0;7;16
contribute;4;14;2
university;1;4;5
são;6;0;0
perspective;1;10;10
identify;4;10;6
history;1;10;6
discussion;2;9;12
category;2;2;16
theory;0;17;6
text;0;14;10
reflect;1;4;13
knowledge;4;8;8
investigate;7;5;7
highlight;1;9;11
develop;1;19;3
aspect;5;3;13
worker;2;10;6
time;3;8;4
subject;1;1;17
representation;3;1;15
project;1;3;17
literature;4;17;1
include;7;6;8
idea;0;5;8
effect;12;3;5
body;0;2;13
question;4;10;8
part;3;2;12
author;1;8;9
area;7;4;11
age;18;2;2
theme;2;9;8
language;0;3;2
family;6;3;2
examine;1;5;8
dialogue;0;10;3
case;9;0;5
slavery;0;7;1
skin;18;2;1
marker;5;4;9
man;10;3;4
life;1;3;9
income;18;0;2
culture;0;4;13
condition;8;1;9
aid;14;0;3
term;4;5;4
reflection;0;10;6
profile;11;2;5
power;1;5;11
performance;6;5;3
observe;10;4;3
level;14;1;3
law;4;9;4
janeiro;5;0;1
feminism;0;11;5
federal;8;5;0
factor;12;4;3
conduct;10;4;4
conclude;2;7;7
system;6;8;3
scientific;1;9;7
reveal;4;5;9
promote;1;7;8
narrative;1;0;12
live;11;1;0
interview;4;7;5
individual;12;4;1
impact;6;4;5
economic;6;3;0
due;3;7;6
discrimination;8;8;1
disability;8;0;5
young;15;0;2
struggle;0;6;7
strategy;5;6;2
professional;3;11;1
period;4;4;6
intellectual;2;1;5
great;7;2;6
feminist;0;9;3
establish;1;4;10
end;2;4;3
classification;7;4;1
academic;1;13;2
survey;13;2;1
structure;3;7;6
report;9;7;0
labor;4;2;5
formation;0;2;13
find;12;3;2
explore;1;6;2
child;4;3;1
care;3;7;4
world;1;2;1
trajectory;2;3;8
suggest;4;4;5
set;1;8;0
segregation;7;0;4
physical;6;1;5
newspaper;0;2;2
importance;1;9;4
hand;6;5;3
female;10;3;2
eugenics;0;1;6
element;0;3;10
demonstrate;2;2;9
contribution;1;10;3
association;8;2;5
afro;0;6;3
address;0;9;4
view;0;1;9
source;1;8;1
socioeconomic;14;1;0
rural;2;4;3
review;3;11;1
information;11;2;1
increase;11;1;2
image;0;0;9
hiv;10;0;3
effort;2;9;2
central;1;1;9
analyse;6;1;5
american;0;8;1
variable;8;1;3
teach;2;8;2
specific;0;6;7
space;1;5;6
region;5;6;0
qualitative;5;5;2
post;0;0;3
portuguese;3;2;3
notion;0;3;1
model;7;0;7
male;11;0;0
interpretation;1;1;8
intend;1;3;7
influence;5;2;3
important;3;2;5
country;0;8;5
conclusion;10;2;1
compare;9;1;1
colonial;0;2;5
carry;5;4;2
call;2;4;6
bring;0;11;3
activity;4;1;7
urban;3;0;4
teacher;1;11;0
status;7;1;5
racist;0;2;9
publish;2;1;4
