the;175;228;241
of;150;204;228
and;164;189;219
in;119;169;184
to;103;159;146
a;72;118;98
this;46;98;99
that;46;81;93
on;43;80;79
as;37;63;70
is;47;70;60
with;64;50;50
by;40;50;46
for;47;47;46
from;41;33;39
it;24;54;42
between;31;24;50
we;26;28;36
was;34;30;28
are;30;27;37
which;16;31;40
an;19;30;29
their;10;22;28
these;20;24;21
were;26;17;13
how;5;21;32
about;8;18;31
or;18;11;14
its;7;19;27
more;24;13;13
be;11;16;19
has;8;22;14
through;12;11;16
at;9;20;11
s;4;13;25
have;12;14;13
who;12;15;10
way;2;15;23
among;21;12;7
i;2;13;19
such;7;21;10
different;9;13;16
two;8;10;17
been;1;18;11
one;11;12;11
not;7;14;12
make;3;11;15
other;16;10;9
also;6;14;10
some;5;10;14
well;10;11;10
use;18;7;6
they;5;10;9
out;15;7;9
there;17;9;5
do;3;7;9
used;9;9;6
0;9;0;0
those;12;4;6
into;7;6;10
most;14;2;5
but;6;4;8
both;9;6;6
only;10;4;6
thus;6;9;8
2;13;1;3
when;7;7;5
self;11;3;4
new;0;6;12
within;5;8;4
three;6;6;7
first;1;3;9
consider;6;3;13
1;7;3;3
regarding;1;5;9
them;5;7;4
his;1;4;10
can;5;5;9
will;2;7;5
had;9;1;4
especially;3;7;8
associated;12;2;4
what;1;6;6
take;2;5;3
so;2;6;5
right;0;9;7
mean;4;5;6
while;9;2;4
think;0;7;6
than;11;2;5
our;6;3;4
need;0;10;6
during;2;5;6
course;6;6;3
being;7;4;3
using;7;6;2
still;5;5;7
all;7;6;2
against;3;7;2
according;9;1;5
since;1;4;4
e;1;3;4
3;7;0;3
second;1;2;6
non;4;2;6
indicate;7;1;6
even;3;1;7
2015;10;1;1
over;2;3;6
less;7;1;4
each;6;2;5
however;4;3;4
after;2;2;5
us;3;2;7
therefore;2;0;8
particularly;3;2;4
o;1;1;1
may;3;4;2
mainly;4;3;2
2014;4;2;1
up;4;4;2
under;2;2;4
no;1;4;0
four;4;1;2
certain;2;1;4
although;7;2;2
4;6;0;1
2018;5;1;2
whether;5;1;3
several;2;4;1
same;3;2;3
despite;5;1;2
allow;1;1;7
2016;2;1;3
without;3;4;0
whose;2;0;3
themselves;0;3;2
should;1;7;1
possible;1;2;3
her;1;1;2
following;3;3;1
around;0;3;2
2010;4;1;3
various;3;2;1
value;1;2;3
others;0;3;4
necessary;0;6;1
my;0;1;3
given;3;1;3
considering;2;2;2
better;3;3;1
any;2;4;1
above;3;3;1
8;7;0;0
would;2;0;3
where;1;2;2
towards;1;2;0
then;1;1;3
last;1;4;0
if;2;5;0
few;3;2;0
did;1;3;1
changes;0;3;4
beyond;1;3;1
19;4;1;1
10;3;2;2
throughout;1;1;2
particular;1;2;2
old;4;0;1
many;0;2;2
itself;0;2;3
here;1;1;3
he;0;3;2
cannot;3;0;2
48;3;1;0
24;5;0;1
2006;1;1;1
2005;2;2;2
2001;2;1;2
2000;3;1;1
1990;1;3;0
13;3;0;0
why;0;3;1
took;1;2;1
seven;3;1;1
seen;0;1;3
own;1;2;1
likely;5;0;0
indicated;2;1;1
having;2;1;0
example;2;2;0
does;3;1;1
concerning;1;2;2
become;0;2;2
because;1;2;1
across;3;0;1
66;3;0;0
6;3;0;0
2017;4;0;0
2012;4;1;0
2003;1;2;2
trying;0;2;2
together;0;2;1
rather;0;2;2
ones;1;1;1
moreover;1;0;2
help;0;2;2
further;1;2;0
done;1;1;1
became;1;2;0
b;2;1;1
appropriate;0;2;1
639;0;2;2
5;3;0;0
47;4;0;0
45;4;0;0
2022;0;0;4
2021;1;1;1
2013;2;1;1
2004;0;3;0
1998;3;0;0
11;2;2;0
03;0;2;2
whereas;2;0;1
very;1;1;1
toward;0;2;1
third;0;2;1
must;1;1;1
much;0;3;0
little;2;0;1
kept;0;1;2
go;1;1;1
come;1;1;1
brief;1;0;2
appear;2;1;0
almost;3;0;0
711;2;1;0
28;2;1;0
2020;3;0;0
2019;3;0;0
2009;2;1;0
1978;1;1;1
18;3;0;0
17;3;0;0
16;3;0;0
12;1;2;0
